Repository Name,Username,Stars,URL
openvpn-install,Nyr,13500,https://github.com/Nyr/openvpn-install
crouton,dnschneid,7800,https://github.com/dnschneid/crouton
Linux-Tutorial,judasn,7600,https://github.com/judasn/Linux-Tutorial
Stacer,oguzhaninan,7100,https://github.com/oguzhaninan/Stacer
openvpn-install,angristan,6500,https://github.com/angristan/openvpn-install
deepin-wine-ubuntu,wszqkzqk,5500,https://github.com/wszqkzqk/deepin-wine-ubuntu
Flatabulous,anmoljagetia,3700,https://github.com/anmoljagetia/Flatabulous
bento,chef,3700,https://github.com/chef/bento
Publii,GetPublii,3400,https://github.com/GetPublii/Publii
polybar-themes,adi1090x,3200,https://github.com/adi1090x/polybar-themes
btfs,johang,2900,https://github.com/johang/btfs
hstr,dvorka,2700,https://github.com/dvorka/hstr
howdy,boltgolt,2700,https://github.com/boltgolt/howdy
fluxgui,xflux-gui,2500,https://github.com/xflux-gui/fluxgui
lamp,teddysun,2300,https://github.com/teddysun/lamp
photoshopCClinux,Gictorbit,2300,https://github.com/Gictorbit/photoshopCClinux
rofi,adi1090x,2200,https://github.com/adi1090x/rofi
aptly,aptly-dev,2000,https://github.com/aptly-dev/aptly
wslu,wslutilities,1800,https://github.com/wslutilities/wslu
Remarkable,jamiemcg,1700,https://github.com/jamiemcg/Remarkable
build,armbian,1700,https://github.com/armbian/build
PlexGuide.com,plexguide,1600,https://github.com/plexguide/PlexGuide.com
mindforger,dvorka,1600,https://github.com/dvorka/mindforger
vimix-gtk-themes,vinceliuice,1400,https://github.com/vinceliuice/vimix-gtk-themes
DockSTARTer,GhostWriters,1400,https://github.com/GhostWriters/DockSTARTer
ansible-nas,davestephens,1400,https://github.com/davestephens/ansible-nas
learning-tools,scottslowe,1300,https://github.com/scottslowe/learning-tools
piku,piku,1300,https://github.com/piku/piku
docker-headless-vnc-container,ConSol,1200,https://github.com/ConSol/docker-headless-vnc-container
AvalonStudio,VitalElement,1200,https://github.com/VitalElement/AvalonStudio
Dragonfire,DragonComputer,1200,https://github.com/DragonComputer/Dragonfire
backintime,bit-team,1100,https://github.com/bit-team/backintime
ufw-docker,chaifeng,1100,https://github.com/chaifeng/ufw-docker
dotfiles,alrra,1100,https://github.com/alrra/dotfiles
valet-linux,cpriego,1100,https://github.com/cpriego/valet-linux
libpointmatcher,ethz-asl,1100,https://github.com/ethz-asl/libpointmatcher
rtinst,arakasi72,1100,https://github.com/arakasi72/rtinst
