Repository Name,Username,Stars,URL
ILSpy,icsharpcode,13000,https://github.com/icsharpcode/ILSpy
ml-agents,Unity-Technologies,11300,https://github.com/Unity-Technologies/ml-agents
3d-game-shaders-for-beginners,lettier,10700,https://github.com/lettier/3d-game-shaders-for-beginners
xLua,Tencent,6800,https://github.com/Tencent/xLua
AssetStudio,Perfare,6200,https://github.com/Perfare/AssetStudio
UniRx,neuecc,5200,https://github.com/neuecc/UniRx
Entitas-CSharp,sschmid,5100,https://github.com/sschmid/Entitas-CSharp
ET,egametang,4600,https://github.com/egametang/ET
MixedRealityToolkit-Unity,microsoft,4600,https://github.com/microsoft/MixedRealityToolkit-Unity
lively,rocksdanister,4500,https://github.com/rocksdanister/lively
awesome-unity,RyanNielson,4400,https://github.com/RyanNielson/awesome-unity
FlutterUnit,toly1994328,3900,https://github.com/toly1994328/FlutterUnit
Game-Networking-Resources,MFatihMAR,3800,https://github.com/MFatihMAR/Game-Networking-Resources
open-project-1,UnityTechnologies,3800,https://github.com/UnityTechnologies/open-project-1
Flatabulous,anmoljagetia,3700,https://github.com/anmoljagetia/Flatabulous
PostProcessing,Unity-Technologies,3500,https://github.com/Unity-Technologies/PostProcessing
MessagePack-CSharp,neuecc,3400,https://github.com/neuecc/MessagePack-CSharp
VRTK,ExtendRealityLtd,3400,https://github.com/ExtendRealityLtd/VRTK
Unity-Script-Collection,michidk,3300,https://github.com/michidk/Unity-Script-Collection
UIEffect,mob-sakai,3100,https://github.com/mob-sakai/UIEffect
wavefunctioncollapse,marian42,3100,https://github.com/marian42/wavefunctioncollapse
Deep_reinforcement_learning_Course,simoninithomas,3100,https://github.com/simoninithomas/Deep_reinforcement_learning_Course
NoahGameFrame,ketoo,3000,https://github.com/ketoo/NoahGameFrame
Il2CppDumper,Perfare,2900,https://github.com/Perfare/Il2CppDumper
GameFramework,EllanJiang,2900,https://github.com/EllanJiang/GameFramework
Harmony,pardeike,2600,https://github.com/pardeike/Harmony
MathUtilities,zalo,2600,https://github.com/zalo/MathUtilities
Zenject-2019,ssannandeji,2600,https://github.com/ssannandeji/Zenject-2019
tolua,topameng,2500,https://github.com/topameng/tolua
Mirror,vis2k,2500,https://github.com/vis2k/Mirror
