Repository Name,Username,Stars,URL
AirSim,microsoft,11900,https://github.com/microsoft/AirSim
nakama,heroiclabs,4800,https://github.com/heroiclabs/nakama
Game-Networking-Resources,MFatihMAR,3800,https://github.com/MFatihMAR/Game-Networking-Resources
ue5-style-guide,Allar,2300,https://github.com/Allar/ue5-style-guide
simulator,lgsvl,1400,https://github.com/lgsvl/simulator
sluaunreal,Tencent,1300,https://github.com/Tencent/sluaunreal
ActionRoguelike,tomlooman,1300,https://github.com/tomlooman/ActionRoguelike
UEViewer,gildor2,1200,https://github.com/gildor2/UEViewer
RuntimeMeshComponent,TriAxis-Games,967,https://github.com/TriAxis-Games/RuntimeMeshComponent
Blender-For-UnrealEngine-Addons,xavier150,966,https://github.com/xavier150/Blender-For-UnrealEngine-Addons
VoxelPlugin,Phyronnaz,944,https://github.com/Phyronnaz/VoxelPlugin
OpenGraphic,Gforcex,901,https://github.com/Gforcex/OpenGraphic
ActionRPGGame,iniside,804,https://github.com/iniside/ActionRPGGame
tensorflow-ue4,getnamo,799,https://github.com/getnamo/tensorflow-ue4
BLUI,uhrobots,773,https://github.com/uhrobots/BLUI
VaRest,ufna,741,https://github.com/ufna/VaRest
deepdrive,deepdrive,670,https://github.com/deepdrive/deepdrive
DungeonTemplateLibrary,AsPJT,668,https://github.com/AsPJT/DungeonTemplateLibrary
PBCharacterMovement,ProjectBorealis,626,https://github.com/ProjectBorealis/PBCharacterMovement
ALS-Community,dyanikoglu,595,https://github.com/dyanikoglu/ALS-Community
UE4GitPlugin,SRombauts,572,https://github.com/SRombauts/UE4GitPlugin
HoudiniEngineForUnreal,sideeffects,557,https://github.com/sideeffects/HoudiniEngineForUnreal
unrealcpp,Harrison1,541,https://github.com/Harrison1/unrealcpp
holodeck,BYU-PCCL,515,https://github.com/BYU-PCCL/holodeck
GASContent,Pantong51,452,https://github.com/Pantong51/GASContent
ue4-docker,adamrehn,447,https://github.com/adamrehn/ue4-docker
UE4VoxelTerrain,bw2012,432,https://github.com/bw2012/UE4VoxelTerrain
FModel,iAmAsval,363,https://github.com/iAmAsval/FModel
Unreal-Binary-Builder,ryanjon2040,355,https://github.com/ryanjon2040/Unreal-Binary-Builder
Launchpad,Nihlus,348,https://github.com/Nihlus/Launchpad
UnrealEditorPythonScripts,mamoniem,330,https://github.com/mamoniem/UnrealEditorPythonScripts
UnrealGDK,spatialos,305,https://github.com/spatialos/UnrealGDK
GenericGraph,jinyuliao,297,https://github.com/jinyuliao/GenericGraph
Mr-Mannequins-Tools,Jim-Kroovy,282,https://github.com/Jim-Kroovy/Mr-Mannequins-Tools
flopnite-ue4,chris-gong,266,https://github.com/chris-gong/flopnite-ue4
Unreal-Finder-Tool,CorrM,260,https://github.com/CorrM/Unreal-Finder-Tool
AugmentedUnreality,adynathos,255,https://github.com/adynathos/AugmentedUnreality
Unreal-Polygonal-Map-Gen,Jay2645,247,https://github.com/Jay2645/Unreal-Polygonal-Map-Gen
ProceduralMeshDemos,SiggiG,244,https://github.com/SiggiG/ProceduralMeshDemos
AirSim-NeurIPS2019-Drone-Racing,microsoft,239,https://github.com/microsoft/AirSim-NeurIPS2019-Drone-Racing
gym-unrealcv,zfw1226,218,https://github.com/zfw1226/gym-unrealcv
AsyncLoadingScreen,truong-bui,202,https://github.com/truong-bui/AsyncLoadingScreen
Climbing-Movement-Component,Deema35,191,https://github.com/Deema35/Climbing-Movement-Component
RTS-Community-Project,ryanjon2040,190,https://github.com/ryanjon2040/RTS-Community-Project
ProceduralMeshes,SiggiG,187,https://github.com/SiggiG/ProceduralMeshes
04_BattleTank,UnrealCourse,182,https://github.com/UnrealCourse/04_BattleTank
02_BullCowGame,UnrealCourse,177,https://github.com/UnrealCourse/02_BullCowGame
glTFForUE4,code4game,171,https://github.com/code4game/glTFForUE4
CoverGenerator-UE4,Deams51,165,https://github.com/Deams51/CoverGenerator-UE4
WarriOrb,NotYetGames,159,https://github.com/NotYetGames/WarriOrb
ue4-gitignore,MOZGIII,156,https://github.com/MOZGIII/ue4-gitignore
FlowGraph,MothCocoon,147,https://github.com/MothCocoon/FlowGraph
gamedevguide,ikrima,145,https://github.com/ikrima/gamedevguide
Unreal-Library,EliotVU,135,https://github.com/EliotVU/Unreal-Library
Grid,jinyuliao,133,https://github.com/jinyuliao/Grid
03_BuildingEscape,UnrealCourse,127,https://github.com/UnrealCourse/03_BuildingEscape
Swarmz,Cultrarius,113,https://github.com/Cultrarius/Swarmz
05_TestingGrounds,UnrealCourse,112,https://github.com/UnrealCourse/05_TestingGrounds
InfraworldRuntime,vizor-games,111,https://github.com/vizor-games/InfraworldRuntime
PEDRA,aqeelanwar,108,https://github.com/aqeelanwar/PEDRA
UECompileTimesVisualizer,Phyronnaz,106,https://github.com/Phyronnaz/UECompileTimesVisualizer
LightmassConfiguration,sgeraldes,105,https://github.com/sgeraldes/LightmassConfiguration
StoryGraph,Deema35,103,https://github.com/Deema35/StoryGraph
PsRealVehicle,PushkinStudio,101,https://github.com/PushkinStudio/PsRealVehicle
realtime-server-ue4-demo,no5ix,96,https://github.com/no5ix/realtime-server-ue4-demo
BuoyancySystem,Jay2645,95,https://github.com/Jay2645/BuoyancySystem
nimue4,pragmagic,93,https://github.com/pragmagic/nimue4
LivePP,kitelightning,92,https://github.com/kitelightning/LivePP
VaTexAtlas,ufna,89,https://github.com/ufna/VaTexAtlas
FFMPEGMedia,bakjos,89,https://github.com/bakjos/FFMPEGMedia
ObjectDeliverer,ayumax,87,https://github.com/ayumax/ObjectDeliverer
kotlin-unreal,hiperbou,86,https://github.com/hiperbou/kotlin-unreal
ImsvGraphVis,kwonoh,85,https://github.com/kwonoh/ImsvGraphVis
VaOceanMobile,ufna,85,https://github.com/ufna/VaOceanMobile
Unreal-Development-Guides-and-Tips,JaredP94,83,https://github.com/JaredP94/Unreal-Development-Guides-and-Tips
Midi-Unreal,Geromatic,80,https://github.com/Geromatic/Midi-Unreal
ue4-targetsystemplugin,mklabs,77,https://github.com/mklabs/ue4-targetsystemplugin
Blender-UE4-Workspace,anasrar,76,https://github.com/anasrar/Blender-UE4-Workspace
libprotobuf_ue4,code4game,76,https://github.com/code4game/libprotobuf_ue4
FairyGUI-unreal,fairygui,76,https://github.com/fairygui/FairyGUI-unreal
UE4GameLiftClientSDK,YetiTech-Studios,75,https://github.com/YetiTech-Studios/UE4GameLiftClientSDK
cg,CorrM,75,https://github.com/CorrM/cg
hydra-ue4,getnamo,73,https://github.com/getnamo/hydra-ue4
ServerAndLobbySystem,aa1000,73,https://github.com/aa1000/ServerAndLobbySystem
global-event-system-ue4,getnamo,72,https://github.com/getnamo/global-event-system-ue4
