Repository Name,Username,Stars,URL
vagrant,hashicorp,22200,https://github.com/hashicorp/vagrant
ansible-for-devops,geerlingguy,4800,https://github.com/geerlingguy/ansible-for-devops
VVV,Varying-Vagrant-Vagrants,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
bento,chef,3700,https://github.com/chef/bento
DetectionLab,clong,2900,https://github.com/clong/DetectionLab
redis-windows,ServiceStack,2600,https://github.com/ServiceStack/redis-windows
trellis,roots,2200,https://github.com/roots/trellis
shutit,ianmiell,2100,https://github.com/ianmiell/shutit
ansible-tuto,leucos,1900,https://github.com/leucos/ansible-tuto
infrastructure-as-code-tutorial,Artemmkin,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
ansible-vagrant-examples,geerlingguy,1900,https://github.com/geerlingguy/ansible-vagrant-examples
vagrant-libvirt,vagrant-libvirt,1800,https://github.com/vagrant-libvirt/vagrant-libvirt
kubernetes-vagrant-centos-cluster,rootsongjc,1700,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
drupal-vm,geerlingguy,1400,https://github.com/geerlingguy/drupal-vm
learning-tools,scottslowe,1300,https://github.com/scottslowe/learning-tools
osx-vm-templates,timsutton,1100,https://github.com/timsutton/osx-vm-templates
vccw,vccw-team,1000,https://github.com/vccw-team/vccw
magma,magma,1000,https://github.com/magma/magma
image-builder-rpi,hypriot,998,https://github.com/hypriot/image-builder-rpi
malboxes,GoSecure,924,https://github.com/GoSecure/malboxes
vagrant-parallels,Parallels,904,https://github.com/Parallels/vagrant-parallels
metta,uber-common,884,https://github.com/uber-common/metta
packer-windows,StefanScherer,876,https://github.com/StefanScherer/packer-windows
vagrant-lamp,r8,764,https://github.com/r8/vagrant-lamp
windows-docker-machine,StefanScherer,712,https://github.com/StefanScherer/windows-docker-machine
vagrant-projects,oracle,675,https://github.com/oracle/vagrant-projects
landrush,vagrant-landrush,665,https://github.com/vagrant-landrush/landrush
phansible,phansible,637,https://github.com/phansible/phansible
macinbox,bacongravy,618,https://github.com/bacongravy/macinbox
pentest-env,Sliim,613,https://github.com/Sliim/pentest-env
Chassis,Chassis,609,https://github.com/Chassis/Chassis
kubernetes-vagrant-coreos-cluster,pires,601,https://github.com/pires/kubernetes-vagrant-coreos-cluster
