Repository Name,Username,Stars,URL
three.js,mrdoob,72700,https://github.com/mrdoob/three.js
aframe,aframevr,12900,https://github.com/aframevr/aframe
bullet3,bulletphysics,8100,https://github.com/bulletphysics/bullet3
engine,playcanvas,6400,https://github.com/playcanvas/engine
Relativty,relativty,5400,https://github.com/relativty/Relativty
VRTK,ExtendRealityLtd,3400,https://github.com/ExtendRealityLtd/VRTK
webxr,immersive-web,2200,https://github.com/immersive-web/webxr
ipyvolume,maartenbreddels,1600,https://github.com/maartenbreddels/ipyvolume
viro,viromedia,1600,https://github.com/viromedia/viro
awesome-aframe,aframevr,1300,https://github.com/aframevr/awesome-aframe
aframe-react,supermedium,1200,https://github.com/supermedium/aframe-react
superframe,supermedium,1100,https://github.com/supermedium/superframe
arcan,letoram,962,https://github.com/letoram/arcan
android-3D-model-viewer,the3deers,870,https://github.com/the3deers/android-3D-model-viewer
exokit,exokitxr,838,https://github.com/exokitxr/exokit
utymap,reinterpretcat,837,https://github.com/reinterpretcat/utymap
networked-aframe,networked-aframe,835,https://github.com/networked-aframe/networked-aframe
lovr,bjornbytes,812,https://github.com/bjornbytes/lovr
Hover-UI-Kit,aestheticinteractive,683,https://github.com/aestheticinteractive/Hover-UI-Kit
DungeonTemplateLibrary,AsPJT,668,https://github.com/AsPJT/DungeonTemplateLibrary
RealityMixer,fabio914,580,https://github.com/fabio914/RealityMixer
a-painter,aframevr,558,https://github.com/aframevr/a-painter
webxr-samples,immersive-web,535,https://github.com/immersive-web/webxr-samples
uxofvr.com,omgmog,529,https://github.com/omgmog/uxofvr.com
aframe-inspector,aframevr,487,https://github.com/aframevr/aframe-inspector
calcflow,matryx,475,https://github.com/matryx/calcflow
IdeaSpace,IdeaSpaceVR,359,https://github.com/IdeaSpaceVR/IdeaSpace
MonoPort,Project-Splinter,346,https://github.com/Project-Splinter/MonoPort
UnityModules,leapmotion,346,https://github.com/leapmotion/UnityModules
MapsSDK-Unity,microsoft,344,https://github.com/microsoft/MapsSDK-Unity
Car-Simulator,Jasonnor,333,https://github.com/Jasonnor/Car-Simulator
AR-VRCourse,eseedo,313,https://github.com/eseedo/AR-VRCourse
OpenXR-SDK,KhronosGroup,301,https://github.com/KhronosGroup/OpenXR-SDK
RealityUI,maxxfrazer,299,https://github.com/maxxfrazer/RealityUI
virocore,viromedia,281,https://github.com/viromedia/virocore
Sol-R,favreau,281,https://github.com/favreau/Sol-R
ViveInputUtility-Unity,ViveSoftware,270,https://github.com/ViveSoftware/ViveInputUtility-Unity
webxr-polyfill,immersive-web,265,https://github.com/immersive-web/webxr-polyfill
OpenXR-SDK-Source,KhronosGroup,260,https://github.com/KhronosGroup/OpenXR-SDK-Source
cosmoscout-vr,cosmoscout,253,https://github.com/cosmoscout/cosmoscout-vr
polymer,ddiakopoulos,248,https://github.com/ddiakopoulos/polymer
PumkinsAvatarTools,rurre,236,https://github.com/rurre/PumkinsAvatarTools
safespaces,letoram,232,https://github.com/letoram/safespaces
StereoKit,maluoi,229,https://github.com/maluoi/StereoKit
unity-webxr-export,De-Panther,225,https://github.com/De-Panther/unity-webxr-export
Punchkeyboard,rjth,222,https://github.com/rjth/Punchkeyboard
open-brush,icosa-gallery,203,https://github.com/icosa-gallery/open-brush
avitab,fpw,189,https://github.com/fpw/avitab
VRWorkout,mgschwan,180,https://github.com/mgschwan/VRWorkout
guri-vr,OpenNewsLabs,179,https://github.com/OpenNewsLabs/guri-vr
patches,vizorvr,167,https://github.com/vizorvr/patches
ViveGrip,JScott,159,https://github.com/JScott/ViveGrip
Kerbal-VR,Vivero,151,https://github.com/Vivero/Kerbal-VR
MixedRealityResources,Yonet,148,https://github.com/Yonet/MixedRealityResources
virtual-walk,Moving-AI,147,https://github.com/Moving-AI/virtual-walk
vircadia,vircadia,147,https://github.com/vircadia/vircadia
XREngine,XRFoundation,138,https://github.com/XRFoundation/XREngine
CentroUI,hggeorgiev,135,https://github.com/hggeorgiev/CentroUI
remixvr,teliportme,133,https://github.com/teliportme/remixvr
react-native-360,tiero,126,https://github.com/tiero/react-native-360
react-native-360,tiero,126,https://github.com/tiero/react-native-360
ApertusVR,MTASZTAKI,116,https://github.com/MTASZTAKI/ApertusVR
MIVisionX,GPUOpen-ProfessionalCompute-Libraries,114,https://github.com/GPUOpen-ProfessionalCompute-Libraries/MIVisionX
spark-ar-creators,edoardottt,111,https://github.com/edoardottt/spark-ar-creators
covise,hlrs-vis,110,https://github.com/hlrs-vis/covise
webvrrocks,immersive-web,109,https://github.com/immersive-web/webvrrocks
a-blast,aframevr,106,https://github.com/aframevr/a-blast
Simple-OpenVR-Driver-Tutorial,terminal29,105,https://github.com/terminal29/Simple-OpenVR-Driver-Tutorial
PhoneVR,ShootingKing-AM,104,https://github.com/ShootingKing-AM/PhoneVR
HVVR,facebookresearch,99,https://github.com/facebookresearch/HVVR
VRArmIK,dabeschte,97,https://github.com/dabeschte/VRArmIK
equirectangular-toolbox,NitishMutha,97,https://github.com/NitishMutha/equirectangular-toolbox
unity-experiment-framework,immersivecognition,95,https://github.com/immersivecognition/unity-experiment-framework
webxr-input-profiles,immersive-web,89,https://github.com/immersive-web/webxr-input-profiles
ImsvGraphVis,kwonoh,85,https://github.com/kwonoh/ImsvGraphVis
vr-speech-sandbox-vive,IBM,84,https://github.com/IBM/vr-speech-sandbox-vive
blockchain3d,KevinSmall,83,https://github.com/KevinSmall/blockchain3d
android-3d-model-viewer,WenlinMao,81,https://github.com/WenlinMao/android-3d-model-viewer
ViRe,TrackLab,80,https://github.com/TrackLab/ViRe
janusweb,jbaicoianu,78,https://github.com/jbaicoianu/janusweb
mathworldvr,michaltakac,75,https://github.com/michaltakac/mathworldvr
aframe-registry,aframevr,73,https://github.com/aframevr/aframe-registry
omegalib,uic-evl,71,https://github.com/uic-evl/omegalib
lvr,liyasthomas,70,https://github.com/liyasthomas/lvr
vimeo-threejs-player,vimeo,67,https://github.com/vimeo/vimeo-threejs-player
spatial-computing,microsoft,66,https://github.com/microsoft/spatial-computing
resonate,marpi,63,https://github.com/marpi/resonate
aframe-svg-extruder,luiguild,59,https://github.com/luiguild/aframe-svg-extruder
Cardboard-VR-Unity-SDK,mobfishgmbh,56,https://github.com/mobfishgmbh/Cardboard-VR-Unity-SDK
oculusvr_samples,kondrak,54,https://github.com/kondrak/oculusvr_samples
awesome-vr-ux,mauricesvay,52,https://github.com/mauricesvay/awesome-vr-ux
OpenPSVR,alatnet,52,https://github.com/alatnet/OpenPSVR
exokit-web,exokitxr,52,https://github.com/exokitxr/exokit-web
roc_engine,SDraw,47,https://github.com/SDraw/roc_engine
WebScreenVR,samuelcardillo,46,https://github.com/samuelcardillo/WebScreenVR
hobo_vr,okawo80085,40,https://github.com/okawo80085/hobo_vr
blocks,danielesteban,40,https://github.com/danielesteban/blocks
opencollar,OpenCollar,37,https://github.com/OpenCollar/opencollar
worlds2,marpi,35,https://github.com/marpi/worlds2
MoonMotion,MoonMotionProject,34,https://github.com/MoonMotionProject/MoonMotion
vr-player,amazingandyyy,34,https://github.com/amazingandyyy/vr-player
immersive,marpi,34,https://github.com/marpi/immersive
Qualisys-Unity-SDK,qualisys,33,https://github.com/qualisys/Qualisys-Unity-SDK
Mondeto,tana,33,https://github.com/tana/Mondeto
awesome-3d,taurenshaman,32,https://github.com/taurenshaman/awesome-3d
MercuryMessaging,ColumbiaCGUI,32,https://github.com/ColumbiaCGUI/MercuryMessaging
vistle,vistle,31,https://github.com/vistle/vistle
VR_audioscape,picorana,31,https://github.com/picorana/VR_audioscape
virtual-reality-tour,tobiasbueschel,31,https://github.com/tobiasbueschel/virtual-reality-tour
LifeBrush,timdecode,30,https://github.com/timdecode/LifeBrush
k2vr-application,KinectToVR,29,https://github.com/KinectToVR/k2vr-application
sudoku-vision,cys920622,29,https://github.com/cys920622/sudoku-vision
bullet,kotlin-graphics,29,https://github.com/kotlin-graphics/bullet
VRArcadeSoftware,vivalite,29,https://github.com/vivalite/VRArcadeSoftware
vr-speech-sandbox-cardboard,IBM,28,https://github.com/IBM/vr-speech-sandbox-cardboard
vr-dc-ex,vmware-archive,28,https://github.com/vmware-archive/vr-dc-ex
vr,marpi,27,https://github.com/marpi/vr
