Repository Name,Username,Stars,URL
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
polymer,Polymer,21600,https://github.com/Polymer/polymer
omi,Tencent,12000,https://github.com/Tencent/omi
wired-elements,rough-stuff,8700,https://github.com/rough-stuff/wired-elements
fast,microsoft,6000,https://github.com/microsoft/fast
web-skills,andreasbm,4200,https://github.com/andreasbm/web-skills
skatejs,skatejs,3200,https://github.com/skatejs/skatejs
time-elements,github,2200,https://github.com/github/time-elements
haunted,matthewp,2000,https://github.com/matthewp/haunted
github-elements,github,1900,https://github.com/github/github-elements
vue-custom-element,karol-f,1800,https://github.com/karol-f/vue-custom-element
vime,vime-js,1700,https://github.com/vime-js/vime
open-wc,open-wc,1500,https://github.com/open-wc/open-wc
open-ui,openui,1300,https://github.com/openui/open-ui
polymer-bundler,Polymer,1200,https://github.com/Polymer/polymer-bundler
lion,ing-bank,1100,https://github.com/ing-bank/lion
stylable,wix,1100,https://github.com/wix/stylable
ui5-webcomponents,SAP,941,https://github.com/SAP/ui5-webcomponents
diffhtml,tbranyen,792,https://github.com/tbranyen/diffhtml
xy-ui,XboxYan,671,https://github.com/XboxYan/xy-ui
dark-mode-toggle,GoogleChromeLabs,664,https://github.com/GoogleChromeLabs/dark-mode-toggle
details-dialog-element,github,657,https://github.com/github/details-dialog-element
emoji-picker-element,nolanlawson,642,https://github.com/nolanlawson/emoji-picker-element
ionic-pwa-toolkit,ionic-team,629,https://github.com/ionic-team/ionic-pwa-toolkit
ng2-semantic-ui,edcarroll,625,https://github.com/edcarroll/ng2-semantic-ui
elix,elix,580,https://github.com/elix/elix
microsoft-graph-toolkit,microsoftgraph,570,https://github.com/microsoftgraph/microsoft-graph-toolkit
web-component-tester,Polymer,569,https://github.com/Polymer/web-component-tester
awesome-stenciljs,mappmechanic,541,https://github.com/mappmechanic/awesome-stenciljs
atomico,atomicojs,539,https://github.com/atomicojs/atomico
remount,rstacruz,535,https://github.com/rstacruz/remount
lume,lume,534,https://github.com/lume/lume
simpla,simplajs,534,https://github.com/simplajs/simpla
vanilla-colorful,web-padawan,519,https://github.com/web-padawan/vanilla-colorful
polymer-cli,Polymer,515,https://github.com/Polymer/polymer-cli
details-menu-element,github,476,https://github.com/github/details-menu-element
vaadin,vaadin,445,https://github.com/vaadin/vaadin
include-fragment-element,github,418,https://github.com/github/include-fragment-element
vue-crud-x,ais-one,417,https://github.com/ais-one/vue-crud-x
coreui,coreui,403,https://github.com/coreui/coreui
Monogatari,Monogatari,390,https://github.com/Monogatari/Monogatari
vaadin-core,vaadin,386,https://github.com/vaadin/vaadin-core
web-components-todo,shprink,370,https://github.com/shprink/web-components-todo
ficusjs,ficusjs,366,https://github.com/ficusjs/ficusjs
three-elements,hmans,359,https://github.com/hmans/three-elements
direflow,Silind-Software,352,https://github.com/Silind-Software/direflow
fast-blazor,microsoft,328,https://github.com/microsoft/fast-blazor
bem-components,bem,325,https://github.com/bem/bem-components
base-components-recipes,salesforce,324,https://github.com/salesforce/base-components-recipes
synergy,defx,308,https://github.com/defx/synergy
weightless,andreasbm,306,https://github.com/andreasbm/weightless
statblock5e,Valloric,302,https://github.com/Valloric/statblock5e
webcomponents.org,webcomponents,293,https://github.com/webcomponents/webcomponents.org
kpc,ksc-fe,273,https://github.com/ksc-fe/kpc
numl,numldesign,272,https://github.com/numldesign/numl
clipboard-copy-element,github,265,https://github.com/github/clipboard-copy-element
tab-container-element,github,262,https://github.com/github/tab-container-element
eplayer,yisar,253,https://github.com/yisar/eplayer
jQWidgets,jqwidgets,250,https://github.com/jqwidgets/jQWidgets
elements,angular-extensions,250,https://github.com/angular-extensions/elements
ui5-webcomponents-react,SAP,247,https://github.com/SAP/ui5-webcomponents-react
vue-ui-framework,petehouston,246,https://github.com/petehouston/vue-ui-framework
prettyhtml,Prettyhtml,244,https://github.com/Prettyhtml/prettyhtml
progressive-image-element,andreruffert,238,https://github.com/andreruffert/progressive-image-element
