Repository Name,Username,Stars,URL
vue-element-admin,PanJiaChen,69200,https://github.com/PanJiaChen/vue-element-admin
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
webpack,webpack,58700,https://github.com/webpack/webpack
vue2-elm,bailicangdu,36500,https://github.com/bailicangdu/vue2-elm
ngx-admin,akveo,22800,https://github.com/akveo/ngx-admin
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
react-redux-links,markerikson,20700,https://github.com/markerikson/react-redux-links
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
js-stack-from-scratch,verekia,18600,https://github.com/verekia/js-stack-from-scratch
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
mojs,mojs,16900,https://github.com/mojs/mojs
ice,alibaba,16400,https://github.com/alibaba/ice
react-loadable,jamiebuilds,16000,https://github.com/jamiebuilds/react-loadable
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
webpack-dashboard,FormidableLabs,13800,https://github.com/FormidableLabs/webpack-dashboard
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
sage,roots,11300,https://github.com/roots/sage
webpack-bundle-analyzer,webpack-contrib,11100,https://github.com/webpack-contrib/webpack-bundle-analyzer
vue2-manage,bailicangdu,10900,https://github.com/bailicangdu/vue2-manage
d2-admin,d2-projects,10700,https://github.com/d2-projects/d2-admin
angular-starter,PatrickJS,10400,https://github.com/PatrickJS/angular-starter
razzle,jaredpalmer,10300,https://github.com/jaredpalmer/razzle
html-webpack-plugin,jantimon,9700,https://github.com/jantimon/html-webpack-plugin
art-template,aui,9500,https://github.com/aui/art-template
nodeppt,ksky521,9400,https://github.com/ksky521/nodeppt
react-app-rewired,timarney,8300,https://github.com/timarney/react-app-rewired
simplefolio,cobidev,8100,https://github.com/cobidev/simplefolio
svgr,gregberge,7800,https://github.com/gregberge/svgr
nebular,akveo,7200,https://github.com/akveo/nebular
webpack-dev-server,webpack,7000,https://github.com/webpack/webpack-dev-server
prerender-spa-plugin,chrisvfritz,6800,https://github.com/chrisvfritz/prerender-spa-plugin
bundlephobia,pastelsky,6200,https://github.com/pastelsky/bundlephobia
loadable-components,gregberge,5700,https://github.com/gregberge/loadable-components
whs.js,WhitestormJS,5600,https://github.com/WhitestormJS/whs.js
WebSlides,webslides,5600,https://github.com/webslides/WebSlides
structor,react-ui-builder,5500,https://github.com/react-ui-builder/structor
jarvis,zouhir,5400,https://github.com/zouhir/jarvis
nwb,insin,5400,https://github.com/insin/nwb
poi,egoist,5200,https://github.com/egoist/poi
webpacker,rails,5200,https://github.com/rails/webpacker
Manta,hql287,5100,https://github.com/hql287/Manta
blendid,vigetlabs,5000,https://github.com/vigetlabs/blendid
mavonEditor,hinesboy,4900,https://github.com/hinesboy/mavonEditor
laravel-mix,JeffreyWay,4700,https://github.com/JeffreyWay/laravel-mix
react_on_rails,shakacode,4700,https://github.com/shakacode/react_on_rails
angular-electron,maximegris,4700,https://github.com/maximegris/angular-electron
vue-loader,vuejs,4700,https://github.com/vuejs/vue-loader
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
blog,youngwind,4600,https://github.com/youngwind/blog
babel-loader,babel,4500,https://github.com/babel/babel-loader
awesome-webpack,webpack-contrib,4500,https://github.com/webpack-contrib/awesome-webpack
backpack,jaredpalmer,4400,https://github.com/jaredpalmer/backpack
offline-plugin,NekR,4400,https://github.com/NekR/offline-plugin
react,duxianwei520,4200,https://github.com/duxianwei520/react
happypack,amireh,4200,https://github.com/amireh/happypack
css-loader,webpack-contrib,4000,https://github.com/webpack-contrib/css-loader
after.js,jaredpalmer,4000,https://github.com/jaredpalmer/after.js
csslayout,phuoc-ng,3900,https://github.com/phuoc-ng/csslayout
cookiecutter-flask,cookiecutter-flask,3800,https://github.com/cookiecutter-flask/cookiecutter-flask
typescript-library-starter,alexjoverm,3800,https://github.com/alexjoverm/typescript-library-starter
neutrino,neutrinojs,3800,https://github.com/neutrinojs/neutrino
create-react-app-typescript,wmonk,3800,https://github.com/wmonk/create-react-app-typescript
