Repository Name,Username,Stars,URL
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
xbmc,xbmc,12600,https://github.com/xbmc/xbmc
structured-text-tools,dbohdan,5800,https://github.com/dbohdan/structured-text-tools
nokogiri,sparklemotion,5600,https://github.com/sparklemotion/nokogiri
rest-assured,rest-assured,5400,https://github.com/rest-assured/rest-assured
poco,pocoproject,5300,https://github.com/pocoproject/poco
countries,mledoze,5200,https://github.com/mledoze/countries
refit,reactiveui,5100,https://github.com/reactiveui/refit
ServiceStack,ServiceStack,4900,https://github.com/ServiceStack/ServiceStack
tokenizer,theseer,4700,https://github.com/theseer/tokenizer
wiremock,tomakehurst,4500,https://github.com/tomakehurst/wiremock
node-xml2js,Leonidas-from-XIV,4300,https://github.com/Leonidas-from-XIV/node-xml2js
tbox,tboox,3700,https://github.com/tboox/tbox
BackgroundLibrary,JavaNoober,3000,https://github.com/JavaNoober/BackgroundLibrary
ShapeOfView,florent37,2900,https://github.com/florent37/ShapeOfView
php-curl-class,php-curl-class,2800,https://github.com/php-curl-class/php-curl-class
substance,substance,2700,https://github.com/substance/substance
minify,tdewolff,2700,https://github.com/tdewolff/minify
posthtml,posthtml,2600,https://github.com/posthtml/posthtml
pugixml,zeux,2600,https://github.com/zeux/pugixml
Ono,mattt,2600,https://github.com/mattt/Ono
xLog,elvishew,2300,https://github.com/elvishew/xLog
thymeleaf,thymeleaf,2200,https://github.com/thymeleaf/thymeleaf
acl,acl-dev,2000,https://github.com/acl-dev/acl
serializer,symfony,1900,https://github.com/symfony/serializer
svgo,ajstarks,1700,https://github.com/ajstarks/svgo
Plot,JohnSundell,1700,https://github.com/JohnSundell/Plot
countries-states-cities-database,dr5hn,1600,https://github.com/dr5hn/countries-states-cities-database
prettydiff,prettydiff,1600,https://github.com/prettydiff/prettydiff
dino,dino,1600,https://github.com/dino/dino
yq,kislyuk,1500,https://github.com/kislyuk/yq
Binding.scala,ThoughtWorksInc,1500,https://github.com/ThoughtWorksInc/Binding.scala
render,unrolled,1500,https://github.com/unrolled/render
FlexLib,zhenglibao,1500,https://github.com/zhenglibao/FlexLib
WebApiClient,dotnetcore,1500,https://github.com/dotnetcore/WebApiClient
laravel-sitemap,spatie,1400,https://github.com/spatie/laravel-sitemap
ISO-3166-Countries-with-Regional-Codes,lukes,1400,https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes
Material-BottomNavigation,sephiroth74,1400,https://github.com/sephiroth74/Material-BottomNavigation
EasyFlipView,wajahatkarim3,1300,https://github.com/wajahatkarim3/EasyFlipView
js-word,SheetJS,1200,https://github.com/SheetJS/js-word
fast-xml-parser,NaturalIntelligence,1200,https://github.com/NaturalIntelligence/fast-xml-parser
oga,YorickPeterse,1200,https://github.com/YorickPeterse/oga
texture,substance,965,https://github.com/substance/texture
EVReflection,evermeer,963,https://github.com/evermeer/EVReflection
dasel,TomWright,944,https://github.com/TomWright/dasel
Snowflake,onmyway133,936,https://github.com/onmyway133/Snowflake
xml-js,nashwaan,928,https://github.com/nashwaan/xml-js
treefrog-framework,treefrogframework,926,https://github.com/treefrogframework/treefrog-framework
Fuzi,cezheng,922,https://github.com/cezheng/Fuzi
koodo-reader,troyeguo,904,https://github.com/troyeguo/koodo-reader
xmlbuilder-js,oozcitak,865,https://github.com/oozcitak/xmlbuilder-js
rss-parser,rbren,852,https://github.com/rbren/rss-parser
macSVG,dsward2,821,https://github.com/dsward2/macSVG
etree,beevik,810,https://github.com/beevik/etree
docconv,sajari,790,https://github.com/sajari/docconv
array-to-xml,spatie,783,https://github.com/spatie/array-to-xml
TextFieldBoxes,HITGIF,762,https://github.com/HITGIF/TextFieldBoxes
ofbiz,apache,726,https://github.com/apache/ofbiz
cxf,apache,717,https://github.com/apache/cxf
dom4j,dom4j,713,https://github.com/dom4j/dom4j
Leanify,JayXon,710,https://github.com/JayXon/Leanify
parsel,scrapy,670,https://github.com/scrapy/parsel
sirix,sirixdb,661,https://github.com/sirixdb/sirix
Pinview,GoodieBag,659,https://github.com/GoodieBag/Pinview
FSharp.Data,fsprojects,653,https://github.com/fsprojects/FSharp.Data
jekyll-rss-feeds,snaptortoise,627,https://github.com/snaptortoise/jekyll-rss-feeds
xstream,x-stream,599,https://github.com/x-stream/xstream
libexpat,libexpat,597,https://github.com/libexpat/libexpat
adblockfast,rocketshipapps,597,https://github.com/rocketshipapps/adblockfast
quick-xml,tafia,546,https://github.com/tafia/quick-xml
log4rs,estk,534,https://github.com/estk/log4rs
basex,BaseXdb,528,https://github.com/BaseXdb/basex
CoreXLSX,CoreOffice,522,https://github.com/CoreOffice/CoreXLSX
MatchTagAlways,Valloric,517,https://github.com/Valloric/MatchTagAlways
untangle,stchris,516,https://github.com/stchris/untangle
iguana,qicosmos,511,https://github.com/qicosmos/iguana
folder-explorer,d2-projects,505,https://github.com/d2-projects/folder-explorer
XMLCoder,MaxDesiatov,495,https://github.com/MaxDesiatov/XMLCoder
zek,miku,474,https://github.com/miku/zek
SOAPEngine,priore,469,https://github.com/priore/SOAPEngine
camaro,tuananh,456,https://github.com/tuananh/camaro
VEditorKit,GeekTree0101,446,https://github.com/GeekTree0101/VEditorKit
nextjs-sitemap-generator,IlusionDev,445,https://github.com/IlusionDev/nextjs-sitemap-generator
fluidxml,servo-php,425,https://github.com/servo-php/fluidxml
wikiteam,WikiTeam,425,https://github.com/WikiTeam/wikiteam
dog-ceo-api,ElliottLandsborough,422,https://github.com/ElliottLandsborough/dog-ceo-api
