Repository Name,Username,Stars,URL
eShopOnContainers,dotnet-architecture,18100,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,9400,https://github.com/mono/mono
ReactiveUI,reactiveui,6400,https://github.com/reactiveui/ReactiveUI
Xamarin.Forms,xamarin,5400,https://github.com/xamarin/Xamarin.Forms
refit,reactiveui,5100,https://github.com/reactiveui/refit
NLog,NLog,5100,https://github.com/NLog/NLog
uno,unoplatform,5000,https://github.com/unoplatform/uno
xamarin-forms-samples,xamarin,3800,https://github.com/xamarin/xamarin-forms-samples
MvvmCross,MvvmCross,3500,https://github.com/MvvmCross/MvvmCross
MessagePack-CSharp,neuecc,3400,https://github.com/neuecc/MessagePack-CSharp
TensorFlowSharp,migueldeicaza,3000,https://github.com/migueldeicaza/TensorFlowSharp
mobile,bitwarden,2800,https://github.com/bitwarden/mobile
Caliburn.Micro,Caliburn-Micro,2300,https://github.com/Caliburn-Micro/Caliburn.Micro
SkiaSharp,mono,2300,https://github.com/mono/SkiaSharp
xamarin-forms-goodlooking-UI,jsuarezruiz,2200,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
Akavache,reactiveui,2100,https://github.com/reactiveui/Akavache
CppSharp,mono,2100,https://github.com/mono/CppSharp
xamarin-macios,xamarin,2000,https://github.com/xamarin/xamarin-macios
awesome-xamarin,XamSome,1700,https://github.com/XamSome/awesome-xamarin
Microcharts,microcharts-dotnet,1600,https://github.com/microcharts-dotnet/Microcharts
ios-samples,xamarin,1500,https://github.com/xamarin/ios-samples
Essentials,xamarin,1400,https://github.com/xamarin/Essentials
NLua,NLua,1400,https://github.com/NLua/NLua
FFImageLoading,luberda-molinet,1300,https://github.com/luberda-molinet/FFImageLoading
Xamarin.Plugins,jamesmontemagno,1200,https://github.com/jamesmontemagno/Xamarin.Plugins
LottieXamarin,Baseflow,1100,https://github.com/Baseflow/LottieXamarin
AdaptiveCards,microsoft,1000,https://github.com/microsoft/AdaptiveCards
GithubXamarin,prajjwaldimri,1000,https://github.com/prajjwaldimri/GithubXamarin
Rg.Plugins.Popup,rotorgames,1000,https://github.com/rotorgames/Rg.Plugins.Popup
mvvmlight,lbugnion,1000,https://github.com/lbugnion/mvvmlight
moonsharp,moonsharp-devs,986,https://github.com/moonsharp-devs/moonsharp
realm-dotnet,realm,953,https://github.com/realm/realm-dotnet
csla,MarimerLLC,921,https://github.com/MarimerLLC/csla
shiny,shinyorg,859,https://github.com/shinyorg/shiny
tweetinvi,linvi,848,https://github.com/linvi/tweetinvi
essential-ui-kit-for-xamarin.forms,syncfusion,826,https://github.com/syncfusion/essential-ui-kit-for-xamarin.forms
libvlcsharp,videolan,818,https://github.com/videolan/libvlcsharp
microsoft-authentication-library-for-dotnet,AzureAD,813,https://github.com/AzureAD/microsoft-authentication-library-for-dotnet
ffmediaelement,unosquare,787,https://github.com/unosquare/ffmediaelement
Xamarin.Forms.PancakeView,sthewissen,782,https://github.com/sthewissen/Xamarin.Forms.PancakeView
