Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
material-design-icons,google,43300,https://github.com/google/material-design-icons
awesome-ios,vsouza,37900,https://github.com/vsouza/awesome-ios
awesome-flutter,Solido,36500,https://github.com/Solido/awesome-flutter
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
ijkplayer,bilibili,29100,https://github.com/bilibili/ijkplayer
open-source-ios-apps,dkhamsing,27700,https://github.com/dkhamsing/open-source-ios-apps
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
SDWebImage,SDWebImage,23600,https://github.com/SDWebImage/SDWebImage
lottie-ios,airbnb,21800,https://github.com/airbnb/lottie-ios
awesome-swift,matteocrippa,20900,https://github.com/matteocrippa/awesome-swift
react-native-elements,react-native-elements,20900,https://github.com/react-native-elements/react-native-elements
RxSwift,ReactiveX,20300,https://github.com/ReactiveX/RxSwift
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
Hero,HeroTransitions,20200,https://github.com/HeroTransitions/Hero
quasar,quasarframework,19000,https://github.com/quasarframework/quasar
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
Kingfisher,onevcat,18600,https://github.com/onevcat/Kingfisher
my-mac-os,nikitavoloboev,17900,https://github.com/nikitavoloboev/my-mac-os
weex,alibaba,17600,https://github.com/alibaba/weex
DoraemonKit,didi,17600,https://github.com/didi/DoraemonKit
framework7,framework7io,16300,https://github.com/framework7io/framework7
NativeBase,GeekyAnts,15400,https://github.com/GeekyAnts/NativeBase
cocos2d-x,cocos2d,15300,https://github.com/cocos2d/cocos2d-x
FlutterExampleApps,iampawan,14800,https://github.com/iampawan/FlutterExampleApps
better-scroll,ustbhuangyi,14700,https://github.com/ustbhuangyi/better-scroll
realm-cocoa,realm,14500,https://github.com/realm/realm-cocoa
plugins,flutter,14200,https://github.com/flutter/plugins
expo,expo,14100,https://github.com/expo/expo
appium,appium,13900,https://github.com/appium/appium
yolov5,ultralytics,13700,https://github.com/ultralytics/yolov5
CocoaPods,CocoaPods,13300,https://github.com/CocoaPods/CocoaPods
kivy,kivy,13200,https://github.com/kivy/kivy
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
create-react-native-app,expo,12700,https://github.com/expo/create-react-native-app
xbmc,xbmc,12600,https://github.com/xbmc/xbmc
gsy_github_app_flutter,CarGuo,12500,https://github.com/CarGuo/gsy_github_app_flutter
CocoaLumberjack,CocoaLumberjack,12400,https://github.com/CocoaLumberjack/CocoaLumberjack
brook,txthinking,12400,https://github.com/txthinking/brook
SVProgressHUD,SVProgressHUD,12300,https://github.com/SVProgressHUD/SVProgressHUD
ncnn,Tencent,12100,https://github.com/Tencent/ncnn
IGListKit,Instagram,12000,https://github.com/Instagram/IGListKit
Material,CosmicMind,11800,https://github.com/CosmicMind/Material
JSQMessagesViewController,jessesquires,11200,https://github.com/jessesquires/JSQMessagesViewController
Eureka,xmartlabs,11200,https://github.com/xmartlabs/Eureka
animated-tab-bar,Ramotion,10800,https://github.com/Ramotion/animated-tab-bar
TimLiu-iOS,Tim9Liu9,10700,https://github.com/Tim9Liu9/TimLiu-iOS
SkeletonView,Juanpe,10300,https://github.com/Juanpe/SkeletonView
ios-good-practices,futurice,10300,https://github.com/futurice/ios-good-practices
ish,ish-app,10000,https://github.com/ish-app/ish
folding-cell,Ramotion,10000,https://github.com/Ramotion/folding-cell
SwifterSwift,SwifterSwift,9900,https://github.com/SwifterSwift/SwifterSwift
NVActivityIndicatorView,ninjaprox,9900,https://github.com/ninjaprox/NVActivityIndicatorView
FSCalendar,WenchaoD,9600,https://github.com/WenchaoD/FSCalendar
mono,mono,9400,https://github.com/mono/mono
react-native-firebase,invertase,9200,https://github.com/invertase/react-native-firebase
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
wcdb,Tencent,9000,https://github.com/Tencent/wcdb
qt,therecipe,8600,https://github.com/therecipe/qt
IBAnimatable,IBAnimatable,8500,https://github.com/IBAnimatable/IBAnimatable
AudioKit,AudioKit,8500,https://github.com/AudioKit/AudioKit
chameleon,didi,8500,https://github.com/didi/chameleon
UTM,utmapp,8500,https://github.com/utmapp/UTM
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
Detox,wix,8200,https://github.com/wix/Detox
vue-native-core,GeekyAnts,8200,https://github.com/GeekyAnts/vue-native-core
R.swift,mac-cain13,8100,https://github.com/mac-cain13/R.swift
buck,facebook,8000,https://github.com/facebook/buck
analyze,draveness,7800,https://github.com/draveness/analyze
ios-oss,kickstarter,7700,https://github.com/kickstarter/ios-oss
Awesome_APIs,TonnyL,7600,https://github.com/TonnyL/Awesome_APIs
owasp-mstg,OWASP,7600,https://github.com/OWASP/owasp-mstg
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
PureLayout,PureLayout,7500,https://github.com/PureLayout/PureLayout
yolov3,ultralytics,7500,https://github.com/ultralytics/yolov3
SwiftGen,SwiftGen,7200,https://github.com/SwiftGen/SwiftGen
Awesome-ARKit,olucurious,7000,https://github.com/olucurious/Awesome-ARKit
JTAppleCalendar,patchthecode,7000,https://github.com/patchthecode/JTAppleCalendar
react-native-calendars,wix,6900,https://github.com/wix/react-native-calendars
Swift-30-Projects,soapyigu,6800,https://github.com/soapyigu/Swift-30-Projects
kittenTricks,akveo,6700,https://github.com/akveo/kittenTricks
CYLTabBarController,ChenYilong,6500,https://github.com/ChenYilong/CYLTabBarController
nimbus,jverkoey,6500,https://github.com/jverkoey/nimbus
30-days-of-react-native,fangwei716,6400,https://github.com/fangwei716/30-days-of-react-native
RIBs,uber,6400,https://github.com/uber/RIBs
ReactiveUI,reactiveui,6400,https://github.com/reactiveui/ReactiveUI
ViewAnimator,marcosgriselli,6300,https://github.com/marcosgriselli/ViewAnimator
outline-client,Jigsaw-Code,6300,https://github.com/Jigsaw-Code/outline-client
SwiftMessages,SwiftKickMobile,6100,https://github.com/SwiftKickMobile/SwiftMessages
Sourcery,krzysztofzablocki,6100,https://github.com/krzysztofzablocki/Sourcery
FSPagerView,WenchaoD,6000,https://github.com/WenchaoD/FSPagerView
react-native-push-notification,zo0r,6000,https://github.com/zo0r/react-native-push-notification
capacitor,ionic-team,5900,https://github.com/ionic-team/capacitor
Hippy,Tencent,5900,https://github.com/Tencent/Hippy
Swift-AI,Swift-AI,5800,https://github.com/Swift-AI/Swift-AI
NewsBlur,samuelclay,5800,https://github.com/samuelclay/NewsBlur
Macaw,exyte,5700,https://github.com/exyte/Macaw
SwipeCellKit,SwipeCellKit,5600,https://github.com/SwipeCellKit/SwipeCellKit
SwiftyStoreKit,bizz84,5600,https://github.com/bizz84/SwiftyStoreKit
gorush,appleboy,5600,https://github.com/appleboy/gorush
flutter-examples,nisrulz,5600,https://github.com/nisrulz/flutter-examples
JLRoutes,joeldev,5500,https://github.com/joeldev/JLRoutes
JXCategoryView,pujiaxin33,5400,https://github.com/pujiaxin33/JXCategoryView
SAMKeychain,soffes,5400,https://github.com/soffes/SAMKeychain
flutter_boost,alibaba,5300,https://github.com/alibaba/flutter_boost
EarlGrey,google,5300,https://github.com/google/EarlGrey
learnapollo,learnapollo,5300,https://github.com/learnapollo/learnapollo
iOS-Developer-Roadmap,BohdanOrlov,5300,https://github.com/BohdanOrlov/iOS-Developer-Roadmap
MonkeyDev,AloneMonkey,5300,https://github.com/AloneMonkey/MonkeyDev
SwiftyBeaver,SwiftyBeaver,5300,https://github.com/SwiftyBeaver/SwiftyBeaver
Airtest,AirtestProject,5200,https://github.com/AirtestProject/Airtest
BulletinBoard,alexisakers,5100,https://github.com/alexisakers/BulletinBoard
Awesome-CoreML-Models,likedan,5100,https://github.com/likedan/Awesome-CoreML-Models
react-native-image-crop-picker,ivpusic,5100,https://github.com/ivpusic/react-native-image-crop-picker
flutter_deer,simplezhli,5000,https://github.com/simplezhli/flutter_deer
