Repository Name,Username,Stars,URL
jquery,jquery,55100,https://github.com/jquery/jquery
fullPage.js,alvarotrigo,32299,https://github.com/alvarotrigo/fullPage.js
taro,NervJS,29200,https://github.com/NervJS/taro
select2,select2,25000,https://github.com/select2/select2
cheerio,cheeriojs,23900,https://github.com/cheeriojs/cheerio
tui.editor,nhn,13200,https://github.com/nhn/tui.editor
card,jessepollak,11300,https://github.com/jessepollak/card
editor.md,pandao,11300,https://github.com/pandao/editor.md
jquery-ui,jquery,10900,https://github.com/jquery/jquery-ui
goquery,PuerkitoBio,10400,https://github.com/PuerkitoBio/goquery
jquery-validation,jquery-validation,10100,https://github.com/jquery-validation/jquery-validation
bootstrap-select,snapappointments,9300,https://github.com/snapappointments/bootstrap-select
tui.calendar,nhn,9200,https://github.com/nhn/tui.calendar
cropper,fengyuanchen,7800,https://github.com/fengyuanchen/cropper
fancybox,fancyapps,7100,https://github.com/fancyapps/fancybox
Metro-UI-CSS,olton,6800,https://github.com/olton/Metro-UI-CSS
must-watch-javascript,AllThingsSmitty,6300,https://github.com/AllThingsSmitty/must-watch-javascript
node-crawler,bda-research,5900,https://github.com/bda-research/node-crawler
cash,fabiospampinato,5200,https://github.com/fabiospampinato/cash
form,jquery-form,5100,https://github.com/jquery-form/form
headless-chrome-crawler,yujiosaka,5000,https://github.com/yujiosaka/headless-chrome-crawler
bootstrap-fileinput,kartik-v,5000,https://github.com/kartik-v/bootstrap-fileinput
intercooler-js,bigskysoftware,4700,https://github.com/bigskysoftware/intercooler-js
VvvebJs,givanz,4300,https://github.com/givanz/VvvebJs
peity,benpickles,4200,https://github.com/benpickles/peity
jquery-tips-everyone-should-know,AllThingsSmitty,4200,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know
tabulator,olifolkerd,4000,https://github.com/olifolkerd/tabulator
laravel-datatables,yajra,4000,https://github.com/yajra/laravel-datatables
pagePiling.js,alvarotrigo,3900,https://github.com/alvarotrigo/pagePiling.js
jquery-timeago,rmm5t,3800,https://github.com/rmm5t/jquery-timeago
jquery.scrollTo,flesler,3600,https://github.com/flesler/jquery.scrollTo
pnotify,sciactive,3600,https://github.com/sciactive/pnotify
textillate,jschr,3600,https://github.com/jschr/textillate
jodd,oblac,3600,https://github.com/oblac/jodd
datetimepicker,xdan,3400,https://github.com/xdan/datetimepicker
tilt.js,gijsroge,3300,https://github.com/gijsroge/tilt.js
artDialog,aui,3100,https://github.com/aui/artDialog
jquery-match-height,liabru,3100,https://github.com/liabru/jquery-match-height
sticky-kit,leafo,3000,https://github.com/leafo/sticky-kit
survey-library,surveyjs,2900,https://github.com/surveyjs/survey-library
sidr,artberri,2900,https://github.com/artberri/sidr
reqwest,ded,2900,https://github.com/ded/reqwest
Modaal,humaan,2700,https://github.com/humaan/Modaal
tablesorter,Mottie,2500,https://github.com/Mottie/tablesorter
jquery-modal,kylefox,2400,https://github.com/kylefox/jquery-modal
oriDomi,dmotz,2400,https://github.com/dmotz/oriDomi
kendo-ui-core,telerik,2400,https://github.com/telerik/kendo-ui-core
100-days-of-code-frontend,nas5w,2400,https://github.com/nas5w/100-days-of-code-frontend
Bridge,bridgedotnet,2200,https://github.com/bridgedotnet/Bridge
Uniform,AudithSoftworks,2200,https://github.com/AudithSoftworks/Uniform
OrgChart,dabeng,2200,https://github.com/dabeng/OrgChart
phantomas,macbre,2200,https://github.com/macbre/phantomas
rangeslider.js,andreruffert,2100,https://github.com/andreruffert/rangeslider.js
jQuery-contextMenu,swisnl,2100,https://github.com/swisnl/jQuery-contextMenu
iziModal,marcelodolza,2100,https://github.com/marcelodolza/iziModal
jcarousel,jsor,2000,https://github.com/jsor/jcarousel
sticky-sidebar,abouolia,2000,https://github.com/abouolia/sticky-sidebar
jQuery-,chokcoco,2000,https://github.com/chokcoco/jQuery-
pyquery,gawel,2000,https://github.com/gawel/pyquery
featherlight,noelboss,2000,https://github.com/noelboss/featherlight
jeecg,zhangdaiscott,2000,https://github.com/zhangdaiscott/jeecg
