Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
the-art-of-command-line,jlevy,92900,https://github.com/jlevy/the-art-of-command-line
node,nodejs,80400,https://github.com/nodejs/node
atom,atom,55700,https://github.com/atom/atom
awesome-mac,jaywcjlove,43100,https://github.com/jaywcjlove/awesome-mac
hyper,vercel,36200,https://github.com/vercel/hyper
alacritty,alacritty,33500,https://github.com/alacritty/alacritty
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
ShadowsocksX-NG,shadowsocks,29600,https://github.com/shadowsocks/ShadowsocksX-NG
brew,Homebrew,28500,https://github.com/Homebrew/brew
PowerShell,PowerShell,27700,https://github.com/PowerShell/PowerShell
nativefier,nativefier,27600,https://github.com/nativefier/nativefier
iina,iina,27400,https://github.com/iina/iina
Motrix,agalwood,26700,https://github.com/agalwood/Motrix
dotfiles,mathiasbynens,26600,https://github.com/mathiasbynens/dotfiles
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
sherlock,sherlock-project,26000,https://github.com/sherlock-project/sherlock
awesome-macos-command-line,herrbischoff,25400,https://github.com/herrbischoff/awesome-macos-command-line
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,23600,https://github.com/SDWebImage/SDWebImage
marktext,marktext,19000,https://github.com/marktext/marktext
Kingfisher,onevcat,18600,https://github.com/onevcat/Kingfisher
macOS-Security-and-Privacy-Guide,drduh,18200,https://github.com/drduh/macOS-Security-and-Privacy-Guide
WeChatExtension-ForMac,MustangYM,18200,https://github.com/MustangYM/WeChatExtension-ForMac
my-mac-os,nikitavoloboev,17900,https://github.com/nikitavoloboev/my-mac-os
Boostnote,BoostIO,17400,https://github.com/BoostIO/Boostnote
Best-App,hzlzh,15000,https://github.com/hzlzh/Best-App
Docker-OSX,sickcodes,14900,https://github.com/sickcodes/Docker-OSX
cool-retro-term,Swordfish90,14800,https://github.com/Swordfish90/cool-retro-term
Kap,wulkano,13900,https://github.com/wulkano/Kap
electronic-wechat,geeeeeeeeek,13800,https://github.com/geeeeeeeeek/electronic-wechat
textmate,textmate,13600,https://github.com/textmate/textmate
WeChatPlugin-MacOS,TKkk-iOSer,13400,https://github.com/TKkk-iOSer/WeChatPlugin-MacOS
kivy,kivy,13200,https://github.com/kivy/kivy
Karabiner-Elements,pqrs-org,13100,https://github.com/pqrs-org/Karabiner-Elements
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
OpenEmu,OpenEmu,12900,https://github.com/OpenEmu/OpenEmu
xbmc,xbmc,12600,https://github.com/xbmc/xbmc
CocoaLumberjack,CocoaLumberjack,12400,https://github.com/CocoaLumberjack/CocoaLumberjack
brook,txthinking,12400,https://github.com/txthinking/brook
awesome-macOS,iCHAIT,12100,https://github.com/iCHAIT/awesome-macOS
OSX-KVM,kholia,11300,https://github.com/kholia/OSX-KVM
macOS-Simple-KVM,foxlet,11100,https://github.com/foxlet/macOS-Simple-KVM
electron-builder,electron-userland,10700,https://github.com/electron-userland/electron-builder
wasmer,wasmerio,10000,https://github.com/wasmerio/wasmer
SwifterSwift,SwifterSwift,9900,https://github.com/SwifterSwift/SwifterSwift
brave-browser,brave,9900,https://github.com/brave/brave-browser
BackgroundMusic,kyleneideck,9800,https://github.com/kyleneideck/BackgroundMusic
Amethyst,ianyh,9300,https://github.com/ianyh/Amethyst
pock,pock,9200,https://github.com/pock/pock
YesPlayMusic,qier222,9000,https://github.com/qier222/YesPlayMusic
macdown,MacDownApp,8700,https://github.com/MacDownApp/macdown
qt,therecipe,8600,https://github.com/therecipe/qt
AudioKit,AudioKit,8500,https://github.com/AudioKit/AudioKit
m-cli,rgcr,8500,https://github.com/rgcr/m-cli
sequelpro,sequelpro,8400,https://github.com/sequelpro/sequelpro
webtorrent-desktop,webtorrent,8300,https://github.com/webtorrent/webtorrent-desktop
mas,mas-cli,8200,https://github.com/mas-cli/mas
MonitorControl,MonitorControl,8200,https://github.com/MonitorControl/MonitorControl
WWDC,insidegui,8100,https://github.com/insidegui/WWDC
browser-laptop,brave,8000,https://github.com/brave/browser-laptop
hammerspoon,Hammerspoon,8000,https://github.com/Hammerspoon/hammerspoon
glfw,glfw,7800,https://github.com/glfw/glfw
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
gridea,getgridea,7500,https://github.com/getgridea/gridea
macos-virtualbox,myspaghetti,7400,https://github.com/myspaghetti/macos-virtualbox
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
