Repository Name,Username,Stars,URL
nodebestpractices,goldbergyoni,68700,https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,42500,https://github.com/meteor/meteor
yarn,yarnpkg,39900,https://github.com/yarnpkg/yarn
lerna,lerna,29000,https://github.com/lerna/lerna
verdaccio,verdaccio,11900,https://github.com/verdaccio/verdaccio
pnpm,pnpm,11800,https://github.com/pnpm/pnpm
tsdx,formium,8300,https://github.com/formium/tsdx
css.gg,astrit,7700,https://github.com/astrit/css.gg
magic,miniMAC,7100,https://github.com/miniMAC/magic
npm-check-updates,raineorshine,6300,https://github.com/raineorshine/npm-check-updates
np,sindresorhus,6100,https://github.com/sindresorhus/np
renovate,renovatebot,5700,https://github.com/renovatebot/renovate
npkill,voidcosmos,4800,https://github.com/voidcosmos/npkill
cli,npm,4600,https://github.com/npm/cli
release-it,release-it,4300,https://github.com/release-it/release-it
npm-run-all,mysticatea,4300,https://github.com/mysticatea/npm-run-all
jsdelivr,jsdelivr,3900,https://github.com/jsdelivr/jsdelivr
awesome-npm,sindresorhus,3800,https://github.com/sindresorhus/awesome-npm
wasm-pack,rustwasm,3500,https://github.com/rustwasm/wasm-pack
eslint-plugin-vue,vuejs,3500,https://github.com/vuejs/eslint-plugin-vue
cnpmjs.org,cnpm,3400,https://github.com/cnpm/cnpmjs.org
release,vercel,3300,https://github.com/vercel/release
windows-build-tools,felixrieseberg,3200,https://github.com/felixrieseberg/windows-build-tools
apify-js,apify,2900,https://github.com/apify/apify-js
thanks,feross,2700,https://github.com/feross/thanks
yalc,wclr,2700,https://github.com/wclr/yalc
npx,zkat,2600,https://github.com/zkat/npx
npm-windows-upgrade,felixrieseberg,2400,https://github.com/felixrieseberg/npm-windows-upgrade
100-days-of-code-frontend,nas5w,2400,https://github.com/nas5w/100-days-of-code-frontend
Darkmode.js,sandoche,2200,https://github.com/sandoche/Darkmode.js
tink,npm,2200,https://github.com/npm/tink
nrm,Pana,2100,https://github.com/Pana/nrm
lite-server,johnpapa,2100,https://github.com/johnpapa/lite-server
bolt,boltpkg,2100,https://github.com/boltpkg/bolt
tsparticles,matteobruni,2000,https://github.com/matteobruni/tsparticles
reactopt,reactopt,2000,https://github.com/reactopt/reactopt
reactn,CharlesStover,1900,https://github.com/CharlesStover/reactn
ndm,720kb,1900,https://github.com/720kb/ndm
ifvisible.js,serkanyersen,1900,https://github.com/serkanyersen/ifvisible.js
node-docker-good-defaults,BretFisher,1800,https://github.com/BretFisher/node-docker-good-defaults
npm-expansions,npm,1700,https://github.com/npm/npm-expansions
Front-end-tutorial,nicejade,1600,https://github.com/nicejade/Front-end-tutorial
greenkeeper,greenkeeperio,1600,https://github.com/greenkeeperio/greenkeeper
rsmq,smrchy,1500,https://github.com/smrchy/rsmq
awesome-awesome-nodejs,bnb,1400,https://github.com/bnb/awesome-awesome-nodejs
react-anime,plus1tv,1400,https://github.com/plus1tv/react-anime
packagephobia,styfle,1300,https://github.com/styfle/packagephobia
nps,sezna,1300,https://github.com/sezna/nps
ungrid,chrisnager,1300,https://github.com/chrisnager/ungrid
apollo-upload-client,jaydenseric,1300,https://github.com/jaydenseric/apollo-upload-client
