Repository Name,Username,Stars,URL
100-Days-Of-ML-Code,Avik-Jain,32500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
AiLearning,apachecn,30300,https://github.com/apachecn/AiLearning
PythonDataScienceHandbook,jakevdp,30100,https://github.com/jakevdp/PythonDataScienceHandbook
handson-ml,ageron,23100,https://github.com/ageron/handson-ml
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
Virgilio,virgili0,13100,https://github.com/virgili0/Virgilio
python-machine-learning-book,rasbt,11300,https://github.com/rasbt/python-machine-learning-book
onnx,onnx,10900,https://github.com/onnx/onnx
dive-into-machine-learning,hangtwenty,10600,https://github.com/hangtwenty/dive-into-machine-learning
ML-For-Beginners,microsoft,10400,https://github.com/microsoft/ML-For-Beginners
dask,dask,8500,https://github.com/dask/dask
tpot,EpistasisLab,8100,https://github.com/EpistasisLab/tpot
mlcourse.ai,Yorko,7700,https://github.com/Yorko/mlcourse.ai
python-machine-learning-book-2nd-edition,rasbt,6300,https://github.com/rasbt/python-machine-learning-book-2nd-edition
featuretools,alteryx,5600,https://github.com/alteryx/featuretools
machinelearning,ljpzzz,5600,https://github.com/ljpzzz/machinelearning
auto-sklearn,automl,5500,https://github.com/automl/auto-sklearn
best-of-ml-python,ml-tooling,5500,https://github.com/ml-tooling/best-of-ml-python
onnxruntime,microsoft,4900,https://github.com/microsoft/onnxruntime
sklearn-doc-zh,apachecn,4300,https://github.com/apachecn/sklearn-doc-zh
sktime,alan-turing-institute,4200,https://github.com/alan-turing-institute/sktime
pipeline,PipelineAI,4100,https://github.com/PipelineAI/pipeline
skorch,skorch-dev,4000,https://github.com/skorch-dev/skorch
interpret,interpretml,3900,https://github.com/interpretml/interpret
autogluon,awslabs,3500,https://github.com/awslabs/autogluon
yellowbrick,DistrictDataLabs,3300,https://github.com/DistrictDataLabs/yellowbrick
scikit-learn-videos,justmarkham,3100,https://github.com/justmarkham/scikit-learn-videos
igel,nidhaloff,2900,https://github.com/nidhaloff/igel
Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh,2800,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
orange3,biolab,2800,https://github.com/biolab/orange3
hummingbird,microsoft,2500,https://github.com/microsoft/hummingbird
eli5,TeamHG-Memex,2400,https://github.com/TeamHG-Memex/eli5
python-machine-learning-book-3rd-edition,rasbt,2400,https://github.com/rasbt/python-machine-learning-book-3rd-edition
mars,mars-project,2200,https://github.com/mars-project/mars
scikit-plot,reiinakano,2100,https://github.com/reiinakano/scikit-plot
ml-workspace,ml-tooling,2000,https://github.com/ml-tooling/ml-workspace
Machine-Learning-with-Python,tirthajyoti,2000,https://github.com/tirthajyoti/Machine-Learning-with-Python
m2cgen,BayesWitnesses,1800,https://github.com/BayesWitnesses/m2cgen
practical-machine-learning-with-python,dipanjanS,1800,https://github.com/dipanjanS/practical-machine-learning-with-python
python-cheat-sheet,juliangaal,1700,https://github.com/juliangaal/python-cheat-sheet
pbpython,chris1610,1600,https://github.com/chris1610/pbpython
auto_ml,ClimbsRocks,1500,https://github.com/ClimbsRocks/auto_ml
StudyBook,changwookjun,1500,https://github.com/changwookjun/StudyBook
DAT8,justmarkham,1500,https://github.com/justmarkham/DAT8
mljar-supervised,mljar,1400,https://github.com/mljar/mljar-supervised
Data-science-best-resources,tirthajyoti,1300,https://github.com/tirthajyoti/Data-science-best-resources
modAL,modAL-python,1300,https://github.com/modAL-python/modAL
scikit-learn-tips,justmarkham,1300,https://github.com/justmarkham/scikit-learn-tips
mleap,combust,1300,https://github.com/combust/mleap
xcessiv,reiinakano,1300,https://github.com/reiinakano/xcessiv
text-analytics-with-python,dipanjanS,1200,https://github.com/dipanjanS/text-analytics-with-python
hyperlearn,danielhanchen,1200,https://github.com/danielhanchen/hyperlearn
metric-learn,scikit-learn-contrib,1100,https://github.com/scikit-learn-contrib/metric-learn
sparkit-learn,lensacom,1100,https://github.com/lensacom/sparkit-learn
data-science-complete-tutorial,edyoda,1100,https://github.com/edyoda/data-science-complete-tutorial
sklearn-porter,nok,1100,https://github.com/nok/sklearn-porter
spark-sklearn,databricks,1100,https://github.com/databricks/spark-sklearn
traingenerator,jrieke,1000,https://github.com/jrieke/traingenerator
MachineLearningStocks,robertmartin8,995,https://github.com/robertmartin8/MachineLearningStocks
gplearn,trevorstephens,966,https://github.com/trevorstephens/gplearn
nolearn,dnouri,942,https://github.com/dnouri/nolearn
awesome-python-data-science,krzjoa,941,https://github.com/krzjoa/awesome-python-data-science
Otto,KartikChugh,898,https://github.com/KartikChugh/Otto
kmodes,nicodv,879,https://github.com/nicodv/kmodes
Machine-Learning-with-Python,devAmoghS,870,https://github.com/devAmoghS/Machine-Learning-with-Python
projectlearn-project-based-learning,Xtremilicious,848,https://github.com/Xtremilicious/projectlearn-project-based-learning
scikit-learn-doc-cn,lzjqsdd,721,https://github.com/lzjqsdd/scikit-learn-doc-cn
