Title,Description,URL
Sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://github.com/topics/sketch
SpaceVim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://github.com/topics/spacevim
Spring Boot,Spring Boot is a coding and configuration model for Java applications.,https://github.com/topics/spring-boot
SQL,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://github.com/topics/sql
Storybook,Storybook is a UI development environment for your UI components.,https://github.com/topics/storybook
Support,Get your team and customers the help they need.,https://github.com/topics/support
Swift,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://github.com/topics/swift
Symfony,Symfony is a set of reusable PHP components and a web framework.,https://github.com/topics/symfony
Telegram,"Telegram is a non-profit, cloud-based instant messaging service.",https://github.com/topics/telegram
Tensorflow,TensorFlow is an open source software library for numerical computation.,https://github.com/topics/tensorflow
Terminal,The terminal is an interface in which you can type and execute text-based commands.,https://github.com/topics/terminal
Terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://github.com/topics/terraform
Testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,https://github.com/topics/testing
Twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://github.com/topics/twitter
TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript
Ubuntu,Ubuntu is a Linux-based operating system.,https://github.com/topics/ubuntu
Unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://github.com/topics/unity
Unreal Engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://github.com/topics/unreal-engine
Vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://github.com/topics/vagrant
Vim,Vim is a console-run text editor program.,https://github.com/topics/vim
Virtual reality,Virtual reality is an artificial environment displayed through digital means.,https://github.com/topics/virtual-reality
Vue.js,Vue.js is a JavaScript framework for building interactive web applications.,https://github.com/topics/vue
Wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://github.com/topics/wagtail
Web Components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://github.com/topics/web-components
Web app,A web application is any computer program that performs a specific function by using a web browser as its client.,https://github.com/topics/webapp
Webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://github.com/topics/webpack
Windows,Windows is Microsoft's GUI-based operating system.,https://github.com/topics/windows
WordPlate,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://github.com/topics/wordplate
WordPress,"WordPress is a popular content management system, used for websites and blogs.",https://github.com/topics/wordpress
Xamarin,Xamarin is a platform for developing iOS and Android applications.,https://github.com/topics/xamarin
