Repository Name,Username,Stars,URL
public-apis,public-apis,138000,https://github.com/public-apis/public-apis
httpie,httpie,51400,https://github.com/httpie/httpie
neovim,neovim,45500,https://github.com/neovim/neovim
strapi,strapi,37600,https://github.com/strapi/strapi
fastapi,tiangolo,33400,https://github.com/tiangolo/fastapi
slate,slatedocs,32900,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,29900,https://github.com/hoppscotch/hoppscotch
yapi,YMFE,21600,https://github.com/YMFE/yapi
ItChat,littlecodersh,21600,https://github.com/littlecodersh/ItChat
django-rest-framework,encode,21400,https://github.com/encode/django-rest-framework
NeteaseCloudMusicApi,Binaryify,20600,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
normalizr,paularmstrong,20300,https://github.com/paularmstrong/normalizr
security-guide-for-developers,FallibleInc,19800,https://github.com/FallibleInc/security-guide-for-developers
api-guidelines,microsoft,17300,https://github.com/microsoft/api-guidelines
insomnia,Kong,16900,https://github.com/Kong/insomnia
API-Security-Checklist,shieldfy,15800,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13100,https://github.com/learn-anything/learn-anything
wxpy,youfou,12900,https://github.com/youfou/wxpy
jsdoc,jsdoc,12100,https://github.com/jsdoc/jsdoc
brain.js,BrainJS,12100,https://github.com/BrainJS/brain.js
directus,directus,11500,https://github.com/directus/directus
web3.js,ChainSafe,10800,https://github.com/ChainSafe/web3.js
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
httpbin,postmanlabs,10000,https://github.com/postmanlabs/httpbin
chi,go-chi,9700,https://github.com/go-chi/chi
grape,ruby-grape,9300,https://github.com/ruby-grape/grape
openapi-generator,OpenAPITools,9100,https://github.com/OpenAPITools/openapi-generator
showdoc,star7th,9100,https://github.com/star7th/showdoc
zeal,zealdocs,8900,https://github.com/zealdocs/zeal
