Repository Name,Username,Stars,URL
aspnetboilerplate,aspnetboilerplate,9700,https://github.com/aspnetboilerplate/aspnetboilerplate
AspNetCore.Docs,dotnet,9500,https://github.com/dotnet/AspNetCore.Docs
server,bitwarden,8000,https://github.com/bitwarden/server
Electron.NET,ElectronNET,5800,https://github.com/ElectronNET/Electron.NET
NSwag,RicoSuter,4500,https://github.com/RicoSuter/NSwag
clean-code-dotnet,thangchung,4000,https://github.com/thangchung/clean-code-dotnet
ImageProcessor,JimBobSquarePants,2400,https://github.com/JimBobSquarePants/ImageProcessor
SmartStoreNET,smartstore,2200,https://github.com/smartstore/SmartStoreNET
aspnet-api-versioning,microsoft,2100,https://github.com/microsoft/aspnet-api-versioning
BaGet,loic-sharma,1700,https://github.com/loic-sharma/BaGet
aspnetcore-angular-universal,TrilonIO,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
Awesome-Microservices-NetCore,mjebrahimi,1200,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
DncZeus,lampo1024,1100,https://github.com/lampo1024/DncZeus
csla,MarimerLLC,921,https://github.com/MarimerLLC/csla
dotvvm,riganti,539,https://github.com/riganti/dotvvm
aspnet-core-3-jwt-authentication-api,cornflourblue,505,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
SharPyShell,antonioCoco,447,https://github.com/antonioCoco/SharPyShell
mvcarchitecture,chsakell,441,https://github.com/chsakell/mvcarchitecture
Gofer.NET,brthor,400,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,381,https://github.com/YAFNET/YAFNET
rrod,Maarten88,375,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,345,https://github.com/SapphireDb/SapphireDb
WebMarkupMin,Taritsyn,324,https://github.com/Taritsyn/WebMarkupMin
BlazorTable,IvanJosipovic,310,https://github.com/IvanJosipovic/BlazorTable
datatables.aspnet,ALMMa,282,https://github.com/ALMMa/datatables.aspnet
aspnetcore-vueclimiddleware,EEParker,278,https://github.com/EEParker/aspnetcore-vueclimiddleware
aspnet-core-jwt-authentication-api,cornflourblue,275,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
aspnet-core-identity,chsakell,259,https://github.com/chsakell/aspnet-core-identity
electron.net-api-demos,ElectronNET,245,https://github.com/ElectronNET/electron.net-api-demos
