Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,51800,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,45000,https://github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,43300,https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,40900,https://github.com/wasabeef/awesome-android-ui
okhttp,square,40400,https://github.com/square/okhttp
architecture-samples,android,39100,https://github.com/android/architecture-samples
retrofit,square,38300,https://github.com/square/retrofit
awesome-flutter,Solido,36500,https://github.com/Solido/awesome-flutter
MPAndroidChart,PhilJay,33600,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
shadowsocks-android,shadowsocks,31600,https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,31400,https://github.com/airbnb/lottie-android
glide,bumptech,31400,https://github.com/bumptech/glide
android-open-project,Trinea,30700,https://github.com/Trinea/android-open-project
AndroidUtilCode,Blankj,29600,https://github.com/Blankj/AndroidUtilCode
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
ijkplayer,bilibili,29100,https://github.com/bilibili/ijkplayer
zxing,zxing,28100,https://github.com/zxing/zxing
android_guides,codepath,27500,https://github.com/codepath/android_guides
jadx,skylot,26500,https://github.com/skylot/jadx
leakcanary,square,26400,https://github.com/square/leakcanary
joplin,laurent22,24200,https://github.com/laurent22/joplin
fastjson,alibaba,23600,https://github.com/alibaba/fastjson
SmartRefreshLayout,scwang90,22700,https://github.com/scwang90/SmartRefreshLayout
BaseRecyclerViewAdapterHelper,CymChad,22100,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20900,https://github.com/react-native-elements/react-native-elements
iosched,google,20600,https://github.com/google/iosched
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
