Repository Name,Username,Stars,URL
babel,babel,39400,https://github.com/babel/babel
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
ava,avajs,19100,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
swc,swc-project,12600,https://github.com/swc-project/swc
babel-handbook,jamiebuilds,10100,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7400,https://github.com/grommet/grommet
htm,developit,6800,https://github.com/developit/htm
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentation,documentationjs,5400,https://github.com/documentationjs/documentation
nwb,insin,5400,https://github.com/insin/nwb
thinkjs,thinkjs,5200,https://github.com/thinkjs/thinkjs
poi,egoist,5200,https://github.com/egoist/poi
babel-loader,babel,4500,https://github.com/babel/babel-loader
backpack,jaredpalmer,4400,https://github.com/jaredpalmer/backpack
twin.macro,ben-rogerson,4400,https://github.com/ben-rogerson/twin.macro
create-react-library,transitive-bullshit,4300,https://github.com/transitive-bullshit/create-react-library
minify,babel,4300,https://github.com/babel/minify
react,duxianwei520,4200,https://github.com/duxianwei520/react
astexplorer,fkling,4000,https://github.com/fkling/astexplorer
graphql-starter,kriasoft,3200,https://github.com/kriasoft/graphql-starter
babel-plugin-module-resolver,tleunen,3000,https://github.com/tleunen/babel-plugin-module-resolver
webpack-blocks,andywer,3000,https://github.com/andywer/webpack-blocks
babel-eslint,babel,3000,https://github.com/babel/babel-eslint
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
react-course,uidotdev,2500,https://github.com/uidotdev/react-course
react-pwa,Atyantik,2400,https://github.com/Atyantik/react-pwa
