Repository Name,Username,Stars,URL
bitcoin,bitcoin,55600,https://github.com/bitcoin/bitcoin
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
ZeroNet,HelloZeroNet,16900,https://github.com/HelloZeroNet/ZeroNet
gekko,askmike,9700,https://github.com/askmike/gekko
freqtrade,freqtrade,9600,https://github.com/freqtrade/freqtrade
abu,bbfamily,8100,https://github.com/bbfamily/abu
lbry-sdk,lbryio,7100,https://github.com/lbryio/lbry-sdk
blockchain,dvf,6100,https://github.com/dvf/blockchain
blockchain_guide,yeasy,5700,https://github.com/yeasy/blockchain_guide
blackbird,butor,5300,https://github.com/butor/blackbird
lnd,lightningnetwork,5200,https://github.com/lightningnetwork/lnd
electrum,spesmilo,5000,https://github.com/spesmilo/electrum
btcd,btcsuite,4300,https://github.com/btcsuite/btcd
bitcoinjs-lib,bitcoinjs,4300,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4000,https://github.com/bitcoinj/bitcoinj
bisq,bisq-network,3600,https://github.com/bisq-network/bisq
tribeca,michaelgrosner,3600,https://github.com/michaelgrosner/tribeca
EthList,Scanate,3500,https://github.com/Scanate/EthList
alpha_vantage,RomelTorres,3400,https://github.com/RomelTorres/alpha_vantage
awesome-coins,Zheaoli,3400,https://github.com/Zheaoli/awesome-coins
CryptoList,coinpride,3300,https://github.com/coinpride/CryptoList
wallet,bitpay,3200,https://github.com/bitpay/wallet
squeezer,SqueezerIO,3200,https://github.com/SqueezerIO/squeezer
Crypto-Signal,CryptoSignal,3200,https://github.com/CryptoSignal/Crypto-Signal
blockchain_go,Jeiwan,3000,https://github.com/Jeiwan/blockchain_go
lbrycrd,lbryio,2800,https://github.com/lbryio/lbrycrd
jesse,jesse-ai,2800,https://github.com/jesse-ai/jesse
btcpayserver,btcpayserver,2800,https://github.com/btcpayserver/btcpayserver
solana,solana-labs,2700,https://github.com/solana-labs/solana
bcoin,bcoin-org,2500,https://github.com/bcoin-org/bcoin
