Repository Name,Username,Stars,URL
scrcpy,Genymobile,51800,https://github.com/Genymobile/scrcpy
neovim,neovim,45500,https://github.com/neovim/neovim
git,git,38600,https://github.com/git/git
awesome-cpp,fffaraz,32299,https://github.com/fffaraz/awesome-cpp
obs-studio,obsproject,29900,https://github.com/obsproject/obs-studio
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25400,https://github.com/FFmpeg/FFmpeg
vim,vim,24200,https://github.com/vim/vim
the_silver_searcher,ggreer,22300,https://github.com/ggreer/the_silver_searcher
curl,curl,21300,https://github.com/curl/curl
interview,huihut,19400,https://github.com/huihut/interview
ruby,ruby,18300,https://github.com/ruby/ruby
flatbuffers,google,16500,https://github.com/google/flatbuffers
graal,oracle,15600,https://github.com/oracle/graal
mpv,mpv-player,15400,https://github.com/mpv-player/mpv
rufus,pbatard,15300,https://github.com/pbatard/rufus
radare2,radareorg,14600,https://github.com/radareorg/radare2
shadowsocks-libev,shadowsocks,14500,https://github.com/shadowsocks/shadowsocks-libev
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
nuklear,vurtun,13300,https://github.com/vurtun/nuklear
vcpkg,microsoft,13200,https://github.com/microsoft/vcpkg
infer,facebook,12400,https://github.com/facebook/infer
nnn,jarun,11800,https://github.com/jarun/nnn
kitty,kovidgoyal,11800,https://github.com/kovidgoyal/kitty
Sourcetrail,CoatiSoftware,11600,https://github.com/CoatiSoftware/Sourcetrail
raspberry-pi-os,s-matyukevich,10400,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10200,https://github.com/hashcat/hashcat
tig,jonas,10100,https://github.com/jonas/tig
qmk_firmware,qmk,10000,https://github.com/qmk/qmk_firmware
C,TheAlgorithms,9800,https://github.com/TheAlgorithms/C
