Repository Name,Username,Stars,URL
metabase,metabase,25300,https://github.com/metabase/metabase
deeplearning4j,eclipse,12100,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600,https://github.com/LightTable/LightTable
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
mal,kanaka,8000,https://github.com/kanaka/mal
logseq,logseq,4800,https://github.com/logseq/logseq
penpot,penpot,4500,https://github.com/penpot/penpot
reagent,reagent-project,4300,https://github.com/reagent-project/reagent
datascript,tonsky,4200,https://github.com/tonsky/datascript
riemann,riemann,4100,https://github.com/riemann/riemann
compojure,weavejester,3900,https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,3700,https://github.com/bbatsov/clojure-style-guide
intellij-rainbow-brackets,izhangzhihao,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring,ring-clojure,3300,https://github.com/ring-clojure/ring
status-react,status-im,3200,https://github.com/status-im/status-react
cider,clojure-emacs,3200,https://github.com/clojure-emacs/cider
lein-figwheel,bhauman,2900,https://github.com/bhauman/lein-figwheel
Rich-Hickey-fanclub,tallesl,2700,https://github.com/tallesl/Rich-Hickey-fanclub
klipse,viebel,2600,https://github.com/viebel/klipse
beakerx,twosigma,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2400,https://github.com/pedestal/pedestal
hiccup,weavejester,2300,https://github.com/weavejester/hiccup
http-kit,http-kit,2200,https://github.com/http-kit/http-kit
awesome-clojure,razum2um,2200,https://github.com/razum2um/awesome-clojure
babashka,babashka,2100,https://github.com/babashka/babashka
onyx,onyx-platform,2000,https://github.com/onyx-platform/onyx
lumo,anmonteiro,1800,https://github.com/anmonteiro/lumo
boot,boot-clj,1700,https://github.com/boot-clj/boot
defold,defold,1700,https://github.com/defold/defold
sente,ptaoussanis,1600,https://github.com/ptaoussanis/sente
