Repository Name,Username,Stars,URL
infer,facebook,12400,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,8800,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6100,https://github.com/checkstyle/checkstyle
sonarqube,SonarSource,5900,https://github.com/SonarSource/sonarqube
pyre-check,facebook,5500,https://github.com/facebook/pyre-check
awesome-guidelines,Kristories,4700,https://github.com/Kristories/awesome-guidelines
simplecov,simplecov-ruby,4300,https://github.com/simplecov-ruby/simplecov
grumphp,phpro,3500,https://github.com/phpro/grumphp
pmd,pmd,3500,https://github.com/pmd/pmd
reviewdog,reviewdog,3500,https://github.com/reviewdog/reviewdog
pylint,PyCQA,3400,https://github.com/PyCQA/pylint
HTMLHint,htmlhint,2600,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2200,https://github.com/codeclimate/codeclimate
jscpd,kucherenko,2200,https://github.com/kucherenko/jscpd
state-of-the-art-shitcode,trekhleb,1900,https://github.com/trekhleb/state-of-the-art-shitcode
piranha,uber,1800,https://github.com/uber/piranha
wemake-python-styleguide,wemake-services,1500,https://github.com/wemake-services/wemake-python-styleguide
cross-platform-node-guide,ehmicky,1200,https://github.com/ehmicky/cross-platform-node-guide
typewiz,urish,1100,https://github.com/urish/typewiz
feflow,Tencent,988,https://github.com/Tencent/feflow
phpqa,jakzal,927,https://github.com/jakzal/phpqa
unused,joshuaclayton,877,https://github.com/joshuaclayton/unused
SonarTS,SonarSource,777,https://github.com/SonarSource/SonarTS
Imgbot,dabutvin,767,https://github.com/dabutvin/Imgbot
android-guidelines,bufferapp,762,https://github.com/bufferapp/android-guidelines
pdepend,pdepend,753,https://github.com/pdepend/pdepend
SonarJS,SonarSource,725,https://github.com/SonarSource/SonarJS
ComposerRequireChecker,maglnet,590,https://github.com/maglnet/ComposerRequireChecker
undercover,grodowski,582,https://github.com/grodowski/undercover
sourcery,sourcery-ai,563,https://github.com/sourcery-ai/sourcery
