Repository Name,Username,Stars,URL
httpie,httpie,51400,https://github.com/httpie/httpie
fzf,junegunn,37800,https://github.com/junegunn/fzf
bat,sharkdp,28100,https://github.com/sharkdp/bat
dive,wagoodman,26800,https://github.com/wagoodman/dive
cheat.sh,chubin,26400,https://github.com/chubin/cheat.sh
ripgrep,BurntSushi,26300,https://github.com/BurntSushi/ripgrep
sherlock,sherlock-project,26000,https://github.com/sherlock-project/sherlock
angular-cli,angular,24700,https://github.com/angular/angular-cli
cli,cli,24000,https://github.com/cli/cli
cobra,spf13,22300,https://github.com/spf13/cobra
awesome-shell,alebcay,21700,https://github.com/alebcay/awesome-shell
lazygit,jesseduffield,20400,https://github.com/jesseduffield/lazygit
python-fire,google,19800,https://github.com/google/python-fire
ava,avajs,19100,https://github.com/avajs/ava
tqdm,tqdm,18800,https://github.com/tqdm/tqdm
pkg,vercel,18400,https://github.com/vercel/pkg
fd,sharkdp,18000,https://github.com/sharkdp/fd
chalk,chalk,16700,https://github.com/chalk/chalk
n8n,n8n-io,16500,https://github.com/n8n-io/n8n
ink,vadimdemedes,16500,https://github.com/vadimdemedes/ink
svgo,svg,16400,https://github.com/svg/svgo
cli,urfave,16100,https://github.com/urfave/cli
.tmux,gpakosz,14500,https://github.com/gpakosz/.tmux
webpack-dashboard,FormidableLabs,13800,https://github.com/FormidableLabs/webpack-dashboard
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
ignite,infinitered,12700,https://github.com/infinitered/ignite
git-history,pomber,12600,https://github.com/pomber/git-history
nnn,jarun,11800,https://github.com/jarun/nnn
modern-unix,ibraheemdev,11700,https://github.com/ibraheemdev/modern-unix
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
