Repository Name,Username,Stars,URL
three.js,mrdoob,72700,https://github.com/mrdoob/three.js
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,14400,https://github.com/BabylonJS/Babylon.js
react-three-fiber,pmndrs,14000,https://github.com/pmndrs/react-three-fiber
aframe,aframevr,12900,https://github.com/aframevr/aframe
tinyrenderer,ssloy,10900,https://github.com/ssloy/tinyrenderer
3d-game-shaders-for-beginners,lettier,10700,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9600,https://github.com/FreeCAD/FreeCAD
zdog,metafizzy,8500,https://github.com/metafizzy/zdog
cesium,CesiumGS,7300,https://github.com/CesiumGS/cesium
SpaceshipGenerator,a1studmuffin,6800,https://github.com/a1studmuffin/SpaceshipGenerator
3D-Machine-Learning,timzhang642,6800,https://github.com/timzhang642/3D-Machine-Learning
Open3D,intel-isl,4800,https://github.com/intel-isl/Open3D
spritejs,spritejs,4500,https://github.com/spritejs/spritejs
tensorspace,tensorspace-team,4400,https://github.com/tensorspace-team/tensorspace
webglstudio.js,jagenjo,4400,https://github.com/jagenjo/webglstudio.js
vrn,AaronJackson,4400,https://github.com/AaronJackson/vrn
PRNet,YadiraF,4300,https://github.com/YadiraF/PRNet
openscad,openscad,4100,https://github.com/openscad/openscad
BlenderGIS,domlysz,4100,https://github.com/domlysz/BlenderGIS
tinyraytracer,ssloy,3800,https://github.com/ssloy/tinyraytracer
magnum,mosra,3500,https://github.com/mosra/magnum
model-viewer,google,3100,https://github.com/google/model-viewer
webgl-fundamentals,gfxfundamentals,3100,https://github.com/gfxfundamentals/webgl-fundamentals
3DDFA,cleardusk,3000,https://github.com/cleardusk/3DDFA
isometric-contributions,jasonlong,3000,https://github.com/jasonlong/isometric-contributions
blender,blender,3000,https://github.com/blender/blender
L7,antvis,2300,https://github.com/antvis/L7
claygl,pissang,2300,https://github.com/pissang/claygl
meshlab,cnr-isti-vclab,2300,https://github.com/cnr-isti-vclab/meshlab
