Repository Name,Username,Stars,URL
serverless,serverless,40200,https://github.com/serverless/serverless
localstack,localstack,31200,https://github.com/localstack/localstack
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
aws-cli,aws,11200,https://github.com/aws/aws-cli
kubespray,kubernetes-sigs,10900,https://github.com/kubernetes-sigs/kubespray
awesome-aws,donnemartin,9500,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
cas,apereo,8800,https://github.com/apereo/cas
up,apex,8300,https://github.com/apex/up
amplify-js,aws-amplify,8200,https://github.com/aws-amplify/amplify-js
chalice,aws,8100,https://github.com/aws/chalice
serverless-application-model,aws,8000,https://github.com/aws/serverless-application-model
sops,mozilla,7800,https://github.com/mozilla/sops
go-cloud,google,7800,https://github.com/google/go-cloud
cortex,cortexlabs,7600,https://github.com/cortexlabs/cortex
caprover,caprover,7400,https://github.com/caprover/caprover
aws-sdk-go,aws,7000,https://github.com/aws/aws-sdk-go
aws-cdk,aws,7000,https://github.com/aws/aws-cdk
aws-sdk-js,aws,6700,https://github.com/aws/aws-sdk-js
boto3,boto,6500,https://github.com/boto/boto3
openvpn-install,angristan,6500,https://github.com/angristan/openvpn-install
aws-shell,awslabs,6200,https://github.com/awslabs/aws-shell
terraform-provider-aws,hashicorp,6000,https://github.com/hashicorp/terraform-provider-aws
amazon-sagemaker-examples,aws,5700,https://github.com/aws/amazon-sagemaker-examples
aws-sam-cli,aws,5600,https://github.com/aws/aws-sam-cli
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
terratest,gruntwork-io,5400,https://github.com/gruntwork-io/terratest
terraformer,GoogleCloudPlatform,5100,https://github.com/GoogleCloudPlatform/terraformer
