Repository Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,74600,https://github.com/angular/angular
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
33-js-concepts,leonardomso,41800,https://github.com/leonardomso/33-js-concepts
prettier,prettier,40100,https://github.com/prettier/prettier
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
angular-cli,angular,24700,https://github.com/angular/angular-cli
components,angular,21600,https://github.com/angular/components
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
tabby,Eugeny,18500,https://github.com/Eugeny/tabby
handsontable,handsontable,15400,https://github.com/handsontable/handsontable
bit,teambit,13700,https://github.com/teambit/bit
sweetalert2,sweetalert2,13200,https://github.com/sweetalert2/sweetalert2
javascript-testing-best-practices,goldbergyoni,12400,https://github.com/goldbergyoni/javascript-testing-best-practices
mean,linnovate,12100,https://github.com/linnovate/mean
coreui-free-bootstrap-admin-template,coreui,10900,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox-client,codesandbox,10700,https://github.com/codesandbox/codesandbox-client
angular-starter,PatrickJS,10400,https://github.com/PatrickJS/angular-starter
PeerTube,Chocobozzz,9500,https://github.com/Chocobozzz/PeerTube
protractor,angular,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
text-mask,text-mask,8000,https://github.com/text-mask/text-mask
awesome-angular,PatrickJS,8000,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7800,https://github.com/ng-bootstrap/ng-bootstrap
nx,nrwl,7700,https://github.com/nrwl/nx
ng-zorro-antd,NG-ZORRO,7600,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7400,https://github.com/ag-grid/ag-grid
rematch,rematch,7300,https://github.com/rematch/rematch
