Repository Name,Username,Stars,URL
ansible,ansible,49000,https://github.com/ansible/ansible
streisand,StreisandEffect,22500,https://github.com/StreisandEffect/streisand
algo,trailofbits,21100,https://github.com/trailofbits/algo
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
kubespray,kubernetes-sigs,10900,https://github.com/kubernetes-sigs/kubespray
awx,ansible,9900,https://github.com/ansible/awx
kubeasz,easzlab,7100,https://github.com/easzlab/kubeasz
ansible-for-devops,geerlingguy,4800,https://github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,4300,https://github.com/rundeck/rundeck
semaphore,ansible-semaphore,4200,https://github.com/ansible-semaphore/semaphore
mac-dev-playbook,geerlingguy,3800,https://github.com/geerlingguy/mac-dev-playbook
DevOps-Guide,Tikam02,3800,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,3600,https://github.com/KubeOperator/KubeOperator
molecule,ansible-community,3100,https://github.com/ansible-community/molecule
DetectionLab,clong,2900,https://github.com/clong/DetectionLab
opendevops,opendevops-cn,2800,https://github.com/opendevops-cn/opendevops
OpsManage,welliamcao,2700,https://github.com/welliamcao/OpsManage
ansible-lint,ansible-community,2500,https://github.com/ansible-community/ansible-lint
netboot.xyz,netbootxyz,2500,https://github.com/netbootxyz/netboot.xyz
werf,werf,2500,https://github.com/werf/werf
chrome-aws-lambda,alixaxel,2300,https://github.com/alixaxel/chrome-aws-lambda
ansible-collection-hardening,dev-sec,2300,https://github.com/dev-sec/ansible-collection-hardening
trellis,roots,2200,https://github.com/roots/trellis
deploy,ansistrano,2100,https://github.com/ansistrano/deploy
openshift-ansible,openshift,2000,https://github.com/openshift/openshift-ansible
ansible-cmdb,fboender,1900,https://github.com/fboender/ansible-cmdb
pytest-testinfra,pytest-dev,1900,https://github.com/pytest-dev/pytest-testinfra
litmus,litmuschaos,1900,https://github.com/litmuschaos/litmus
ansible-tuto,leucos,1900,https://github.com/leucos/ansible-tuto
infrastructure-as-code-tutorial,Artemmkin,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
