Repository Name,Username,Stars,URL
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
recommenders,microsoft,10600,https://github.com/microsoft/recommenders
azure-quickstart-templates,Azure,10600,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
sops,mozilla,7800,https://github.com/mozilla/sops
go-cloud,google,7800,https://github.com/google/go-cloud
computervision-recipes,microsoft,7800,https://github.com/microsoft/computervision-recipes
caprover,caprover,7400,https://github.com/caprover/caprover
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
formidable,node-formidable,5900,https://github.com/node-formidable/formidable
midway,midwayjs,4500,https://github.com/midwayjs/midway
clean-code-dotnet,thangchung,4000,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3700,https://github.com/cloud-custodian/cloud-custodian
docker-android,budtmo,3500,https://github.com/budtmo/docker-android
grant,simov,3400,https://github.com/simov/grant
ScoutSuite,nccgroup,3400,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3400,https://github.com/infracost/infracost
engine,Qovery,3100,https://github.com/Qovery/engine
tfsec,aquasecurity,2900,https://github.com/aquasecurity/tfsec
checkov,bridgecrewio,2900,https://github.com/bridgecrewio/checkov
terraform-provider-azurerm,terraform-providers,2700,https://github.com/terraform-providers/terraform-provider-azurerm
azure-powershell,Azure,2700,https://github.com/Azure/azure-powershell
komiser,mlabouardy,2600,https://github.com/mlabouardy/komiser
openapi-directory,APIs-guru,2500,https://github.com/APIs-guru/openapi-directory
azure-cli,Azure,2500,https://github.com/Azure/azure-cli
azure-sdk-for-net,Azure,2500,https://github.com/Azure/azure-sdk-for-net
MachineLearningNotebooks,Azure,2400,https://github.com/Azure/MachineLearningNotebooks
mmlspark,Azure,2400,https://github.com/Azure/mmlspark
SmartStoreNET,smartstore,2200,https://github.com/smartstore/SmartStoreNET
