Repository Name,Username,Stars,URL
octotree,ovity,21400,https://github.com/ovity/octotree
danger,danger,4500,https://github.com/danger/danger
gitpod,gitpod-io,4400,https://github.com/gitpod-io/gitpod
danger-js,danger,3900,https://github.com/danger/danger-js
reviewdog,reviewdog,3500,https://github.com/reviewdog/reviewdog
awesome-code-review,joho,3000,https://github.com/joho/awesome-code-review
hound,houndci,1900,https://github.com/houndci/hound
nodejsscan,ajinabraham,1800,https://github.com/ajinabraham/nodejsscan
mutant,mbj,1700,https://github.com/mbj/mutant
vscode-pull-request-github,microsoft,1600,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,1400,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
python_sec,bit4woo,959,https://github.com/bit4woo/python_sec
code-review-tips,ryanmcdermott,943,https://github.com/ryanmcdermott/code-review-tips
java-concurrency,code-review-checklists,908,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,784,https://github.com/jiangsir404/Audit-Learning
codestream,TeamCodeStream,583,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,497,https://github.com/enlightn/enlightn
gerrit-intellij-plugin,uwolfer,421,https://github.com/uwolfer/gerrit-intellij-plugin
policy-bot,palantir,382,https://github.com/palantir/policy-bot
cpp-project,bsamseth,368,https://github.com/bsamseth/cpp-project
diffr,mookid,363,https://github.com/mookid/diffr
static-review,sjparkinson,330,https://github.com/sjparkinson/static-review
raptor,dpnishant,321,https://github.com/dpnishant/raptor
code-review-checklist,mgreiler,287,https://github.com/mgreiler/code-review-checklist
shiba,burrito-brothers,282,https://github.com/burrito-brothers/shiba
github-review,charignon,239,https://github.com/charignon/github-review
lookout,src-d,143,https://github.com/src-d/lookout
gerrit-rest-java-client,uwolfer,134,https://github.com/uwolfer/gerrit-rest-java-client
owasp-orizon,thesp0nge,134,https://github.com/thesp0nge/owasp-orizon
